sdp_group_filename,hash_id,dc_name,year,month,received_ts_rai,received_ts_quar,status_3_on_time,status_4_schema_failed,status_5_quar_scope,status_6_quar_time,status_7_dq_records,status_8_bus_approved,status_9_reached_gold,insp_record_count
20250131180936__nutreco__csrd_esg_soc__injuries,2025_01_dataContract__nutreco__csrd_esg_soc__injuries,dataContract__nutreco__csrd_esg_soc__injuries,2025,1,02/26/2026 13:02,,1048570,FALSE,FALSE,FALSE,TRUE,FALSE,464,12577272
20250131200936__mammoet__csrd_esg_soc__psif,2025_01_dataContract__mammoet__csrd_esg_soc__psif,dataContract__mammoet__csrd_esg_soc__psif,2025,1,03/02/2026 18:44,,36,FALSE,FALSE,FALSE,FALSE,FALSE,36,
20250131220936__mammoet__csrd_esg_soc__health_safety,2025_01_dataContract__mammoet__csrd_esg_soc__health_safety,dataContract__mammoet__csrd_esg_soc__health_safety,2025,1,03/02/2026 14:17,03/02/2026 13:08,72,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20250730072035__kiwa__csrd_hs__esg_hs,2025_07_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,7,10/03/2025 11:40,,116,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20250730072035__kiwa__csrd_hs__esg_injuries,2025_07_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,7,,10/03/2025 12:21,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20250730072035__kiwa__csrd_hs__esg_psif,2025_07_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,7,,10/03/2025 11:30,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20250820081115__nutreco__csrd_hs__esg_injuries,2025_08_dataContract__nutreco__csrd_hs__esg_injuries,dataContract__nutreco__csrd_hs__esg_injuries,2025,8,10/02/2025 12:18,,19,FALSE,FALSE,FALSE,TRUE,FALSE,0,6
20250820081115__nutreco__csrd_hs__esg_psif,2025_08_dataContract__nutreco__csrd_hs__esg_psif,dataContract__nutreco__csrd_hs__esg_psif,2025,8,10/02/2025 12:18,,12,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20250820083454__nutreco__csrd_hs__esg_hs,2025_08_dataContract__nutreco__csrd_hs__esg_hs,dataContract__nutreco__csrd_hs__esg_hs,2025,8,,09/16/2025 14:30,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20250820083833__nutreco__csrd_hs__esg_hs,2025_08_dataContract__nutreco__csrd_hs__esg_hs,dataContract__nutreco__csrd_hs__esg_hs,2025,8,10/02/2025 12:19,,155,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20250821070541__kiwa__csrd_hs__esg_injuries,2025_08_dataContract__kiwa__csrd_hs__esg_injuries,dataContract__kiwa__csrd_hs__esg_injuries,2025,8,10/03/2025 12:42,,8,FALSE,FALSE,FALSE,TRUE,FALSE,0,38
20250821070541__kiwa__csrd_hs__esg_psif,2025_08_dataContract__kiwa__csrd_hs__esg_psif,dataContract__kiwa__csrd_hs__esg_psif,2025,8,10/03/2025 13:20,,7,FALSE,FALSE,FALSE,TRUE,FALSE,0,12
20250821070542__kiwa__csrd_hs__esg_hs,2025_08_dataContract__kiwa__csrd_hs__esg_hs,dataContract__kiwa__csrd_hs__esg_hs,2025,8,,09/16/2025 16:08,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20250906000000__shv__csrd_ref__dim_country,2025_09_dataContract__shv__csrd_ref__dim_country,dataContract__shv__csrd_ref__dim_country,2025,9,03/25/2026 10:11,,112,FALSE,FALSE,FALSE,TRUE,FALSE,112,224
20250906000000__shv__csrd_ref__dim_group,2025_09_dataContract__shv__csrd_ref__dim_group,dataContract__shv__csrd_ref__dim_group,2025,9,09/18/2025 10:27,,8,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20250906000000__shv__csrd_ref__dim_workforce_category,2025_09_dataContract__shv__csrd_ref__dim_workforce_category,dataContract__shv__csrd_ref__dim_workforce_category,2025,9,09/11/2025 10:18,,3,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20250924000000__shv__csrd_ref__dim_country,2025_09_dataContract__shv__csrd_ref__dim_country,dataContract__shv__csrd_ref__dim_country,2025,9,09/24/2025 8:54,,112,FALSE,FALSE,FALSE,FALSE,FALSE,0,
20250924000000__shv__csrd_ref__dim_group,2025_09_dataContract__shv__csrd_ref__dim_group,dataContract__shv__csrd_ref__dim_group,2025,9,09/24/2025 9:07,09/24/2025 8:55,8,TRUE,FALSE,FALSE,FALSE,FALSE,0,
20250924000000__shv__csrd_ref__dim_injury_type,2025_09_dataContract__shv__csrd_ref__dim_injury_type,dataContract__shv__csrd_ref__dim_injury_type,2025,9,09/24/2025 9:26,,5,FALSE,FALSE,FALSE,FALSE,FALSE,5,
