ItemKey,ItemName,ItemCategory,ItemSubtype,RarityKey,BaseValue,StackSize,IsCraftable,IsTradeable,Element,Potency,Density,Volatility,BomTier
1,Crystal Hide,Material,Hide,2,65.52,99,False,True,Wind,,,,1
2,Cursed Glaive of Echoes,Weapon,Glaive,3,68.36,1,False,True,,,,,4
3,Cursed Shard,Crystal,Shard,3,258.38,99,False,True,Dark,86.06,3.19,0.718,1
4,Storm Ash,Reagent,Ash,4,228.2,99,True,True,,,,,3
5,Iron Ingot of Lightning,Material,Ingot,3,55.97,99,True,True,Fire,,,,1
6,Moon Cloth,Material,Cloth,1,13.81,99,True,True,Ice,,,,1
7,Blessed Bar,Material,Bar,2,453.92,99,False,True,Light,,,,1
8,Mithril Token,Misc,Token,1,2.5,99,False,True,,,,,3
9,Ancient Scroll of Whispers,Consumable,Scroll,1,36.59,20,True,True,,,,,4
10,Dawn Greaves,Armor,Greaves,4,32.14,1,False,True,,,,,4
11,Dusk Ore,Material,Ore,2,35.28,99,False,True,Water,,,,1
12,Sun Bar,Material,Bar,5,477.48,99,False,True,Lightning,,,,2
13,Drake Robe of the Wild,Armor,Robe,1,1.65,1,False,True,,,,,4
14,Shadow Cloth of Dawn,Material,Cloth,2,64.07,99,False,False,Ice,,,,2
15,Ember Spear,Weapon,Spear,1,12.73,1,True,False,,,,,4
16,Ember Resin of Echoes,Reagent,Resin,1,1.62,99,False,True,,,,,2
17,Sun Gauntlets,Armor,Gauntlets,1,55.01,1,True,True,,,,,4
18,Drake Spear,Weapon,Spear,2,224.79,1,False,True,,,,,4
19,Sun Mace of the Forge,Weapon,Mace,1,120.08,1,True,True,,,,,4
20,Twilight Pauldrons of Whispers,Armor,Pauldrons,4,370.8,1,False,True,,,,,4
21,Crystal Boots,Armor,Boots,1,21.23,1,False,True,,,,,4
22,Ember Glaive of Echoes,Weapon,Glaive,1,98.87,1,True,True,,,,,4
23,Crystal Robe,Armor,Robe,3,756.19,1,False,True,,,,,4
24,Ember Helm,Armor,Helm,1,78.28,1,False,False,,,,,4
25,Verdant Tonic,Consumable,Tonic,4,77.87,20,True,True,,,,,3
26,Ancient Tonic of the Wild,Consumable,Tonic,2,51.15,20,False,True,,,,,4
27,Hollow Potion,Consumable,Potion,1,34.04,20,True,False,,,,,4
28,Iron Elixir,Consumable,Elixir,2,4.58,20,True,True,,,,,4
29,Dawn Wand of Ruin,Weapon,Wand,2,70.55,1,False,True,,,,,4
30,Cursed Dagger,Weapon,Dagger,3,1536.14,1,True,True,,,,,4
31,Moon Chestplate,Armor,Chestplate,3,216.45,1,False,True,,,,,4
32,Crystal Shard,Crystal,Shard,2,235.39,99,False,True,Fire,28.54,0.69,0.156,2
33,Storm Charm,Misc,Charm,2,50.03,99,False,True,,,,,3
34,Phoenix Powder of Tides,Reagent,Powder,1,18.4,99,True,True,,,,,3
35,Dawn Ore of Dawn,Material,Ore,2,63.48,99,False,True,Ice,,,,1
36,Iron Herb of Glass,Material,Herb,4,90.55,99,False,True,Lightning,,,,1
37,Blessed Food of Whispers,Consumable,Food,2,12.64,20,False,True,,,,,4
38,Blessed Geode,Crystal,Geode,2,183.59,99,True,True,Lightning,19.26,9.76,0.54,2
39,Cursed Essence of Whispers,Crystal,Essence,1,104.25,99,False,True,Light,10.36,0.87,0.923,1
40,Frost Sliver,Crystal,Sliver,3,30.57,99,False,True,Light,35.45,9.88,0.539,2
41,Drake Tincture of Echoes,Reagent,Tincture,6,9626.1,99,False,True,,,,,2
42,Spectral Potion of the Void,Consumable,Potion,1,18.1,20,True,True,,,,,4
43,Spectral Sliver of Valor,Crystal,Sliver,1,30.2,99,True,True,Earth,38.76,2.92,0.178,2
44,Spectral Crystal of Echoes,Crystal,Crystal,2,69.78,99,True,True,Water,4.85,1.85,0.101,2
45,Phoenix Potion,Consumable,Potion,1,66.24,20,False,True,,,,,3
46,Dawn Resin,Reagent,Resin,2,44.36,99,True,True,,,,,3
47,Frost Wand,Weapon,Wand,1,109.09,1,True,True,,,,,4
48,Verdant Trinket of the Forge,Misc,Trinket,1,29.12,99,True,True,,,,,3
49,Moon Shard,Crystal,Shard,2,84.96,99,False,True,Light,42.93,6.39,0.323,1
50,Sun Staff of the Wild,Weapon,Staff,2,14.78,1,True,True,,,,,4
51,Wyrm Plank,Material,Plank,2,535.68,99,True,True,Ice,,,,1
52,Dusk Glaive,Weapon,Glaive,2,70.59,1,False,True,,,,,4
53,Hollow Shard of Dawn,Crystal,Shard,2,94.51,99,True,True,Lightning,43.57,2.33,0.905,2
54,Dawn Shard of Ruin,Crystal,Shard,3,14.58,99,True,True,Dark,88.45,1.86,0.295,1
55,Storm Ingot of Stars,Material,Ingot,2,14.97,99,False,True,Earth,,,,2
56,Sun Powder of the Wild,Reagent,Powder,2,177.44,99,False,True,,,,,2
