MonsterKey,MonsterName,MonsterType,Level,RegionKey,IsElite,IsBoss
1,Blessed Basilisk,Demon,17,12,False,False
2,Ancient Troll,Humanoid,21,7,False,False
3,Dawn Troll,Humanoid,23,10,False,True
4,Spectral Imp,Beast,16,1,False,False
5,Ember Harpy,Undead,1,1,False,False
6,Spectral Golem,Undead,18,11,False,False
7,Storm Specter,Humanoid,5,2,False,False
8,Hollow Hydra,Elemental,15,2,False,False
9,Mithril Harpy,Dragon,17,7,True,False
10,Blessed Basilisk,Dragon,3,8,False,False
11,Twilight Ghoul,Dragon,14,3,False,True
12,Wyrm Ghoul,Beast,4,6,True,False
13,Obsidian Drake,Beast,1,9,False,False
14,Phoenix Golem,Demon,4,6,False,False
15,Mithril Specter,Demon,13,5,False,False
16,Sun Imp,Dragon,12,1,False,False
17,Obsidian Golem,Beast,9,6,False,False
18,Hollow Troll,Demon,20,10,True,True
19,Blessed Wyrm,Undead,12,8,False,False
20,Wyrm Imp,Undead,18,11,False,False
21,Sun Golem,Undead,23,2,False,False
22,Iron Imp,Undead,57,1,False,False
23,Phoenix Harpy,Elemental,13,7,False,False
24,Crystal Harpy,Demon,30,3,False,False
25,Moon Golem,Demon,16,8,False,False
26,Spectral Imp,Demon,17,11,True,False
27,Crystal Hydra,Dragon,13,5,False,False
28,Spectral Direwolf,Humanoid,15,7,False,False
29,Phoenix Drake,Elemental,12,9,False,False
30,Drake Ogre,Elemental,27,2,False,False
31,Ancient Direwolf,Dragon,8,11,False,False
32,Dusk Ghoul,Dragon,4,3,False,True
33,Spectral Hydra,Beast,9,10,False,False
34,Moon Wraith,Humanoid,8,8,False,False
35,Ember Specter,Beast,9,2,False,False
36,Mithril Drake,Demon,12,9,False,False
37,Blessed Wyrm,Elemental,9,3,False,False
38,Ancient Manticore,Demon,12,8,False,False
39,Frost Golem,Undead,9,12,False,False
40,Ancient Basilisk,Humanoid,19,12,False,False
41,Shadow Basilisk,Beast,56,11,False,False
42,Hollow Wraith,Undead,16,6,False,False
43,Ancient Ogre,Humanoid,9,7,False,False
44,Blessed Hydra,Dragon,1,4,False,False
45,Crystal Harpy,Beast,45,12,False,False
46,Obsidian Direwolf,Dragon,17,6,False,False
47,Blessed Ghoul,Humanoid,12,10,False,False
48,Dawn Harpy,Beast,1,5,False,False
49,Dusk Harpy,Demon,13,9,False,False
50,Mithril Direwolf,Demon,15,3,False,False
51,Crystal Drake,Beast,9,9,True,False
52,Mithril Specter,Undead,4,1,False,False
53,Hollow Ogre,Undead,4,2,False,False
54,Storm Wyrm,Undead,45,5,True,False
55,Crystal Drake,Demon,15,6,False,False
56,Sun Specter,Demon,9,9,False,False
57,Hollow Lich,Undead,14,5,False,False
58,Wyrm Drake,Undead,14,1,False,False
59,Spectral Lich,Undead,4,4,False,False
60,Crystal Manticore,Dragon,26,6,False,False
61,Frost Direwolf,Undead,12,7,False,False
62,Moon Ogre,Humanoid,15,8,False,False
63,Storm Ogre,Elemental,36,3,False,False
64,Dawn Troll,Dragon,4,8,False,False
65,Spectral Harpy,Elemental,7,8,True,False
66,Ancient Golem,Undead,17,10,False,False
67,Shadow Direwolf,Elemental,25,7,False,False
68,Ember Manticore,Undead,8,10,False,False
69,Spectral Imp,Beast,9,3,False,False
70,Iron Banshee,Undead,21,9,False,False
71,Storm Wyrm,Undead,54,1,True,False
72,Shadow Harpy,Beast,15,2,False,False
73,Moon Manticore,Beast,7,11,False,False
74,Blessed Ogre,Humanoid,6,6,False,False
75,Drake Basilisk,Elemental,12,8,False,False
76,Iron Lich,Demon,25,8,False,False
77,Twilight Wyrm,Humanoid,69,9,False,False
78,Frost Lich,Undead,11,3,True,False
79,Ember Specter,Demon,15,3,False,False
80,Frost Lich,Humanoid,40,1,False,False
