RecipeKey,OutputItemKey,CraftingSkill,RequiredLevel,YieldQty,CraftTimeSecs
1,187,Cooking,27,1,439
2,59,Alchemy,18,1,209
3,69,Tailoring,18,5,288
4,188,Enchanting,7,1,505
5,98,Engineering,61,1,489
6,22,Engineering,19,1,313
7,195,Cooking,27,1,503
8,66,Alchemy,19,1,211
9,60,Cooking,14,1,251
10,93,Alchemy,34,10,504
11,175,Enchanting,24,1,228
12,114,Alchemy,19,1,452
13,153,Engineering,26,1,274
14,146,Enchanting,21,1,182
15,17,Smithing,53,3,135
16,68,Engineering,34,3,365
17,112,Tailoring,29,3,290
18,64,Cooking,8,1,224
19,15,Alchemy,29,1,447
20,46,Cooking,29,2,5
21,185,Enchanting,11,1,59
22,72,Tailoring,8,1,577
23,115,Smithing,33,1,399
24,134,Tailoring,35,1,332
25,86,Smithing,15,3,13
26,105,Smithing,14,1,361
27,182,Cooking,23,5,263
28,28,Alchemy,17,1,361
29,71,Cooking,7,1,29
30,77,Cooking,11,1,332
31,53,Smithing,26,1,348
32,63,Tailoring,12,1,177
33,9,Smithing,36,1,37
34,19,Tailoring,29,1,583
35,103,Tailoring,27,3,427
36,126,Enchanting,23,1,374
37,75,Smithing,14,1,461
38,48,Tailoring,31,1,404
39,43,Smithing,13,2,84
40,197,Smithing,38,1,275
41,120,Engineering,48,1,533
42,116,Cooking,24,1,176
43,129,Tailoring,45,1,583
44,139,Alchemy,11,1,43
45,42,Enchanting,29,1,201
46,121,Engineering,21,10,213
47,4,Tailoring,33,1,372
48,157,Enchanting,5,1,109
49,122,Engineering,32,1,141
50,186,Smithing,14,1,398
51,132,Cooking,22,1,174
52,143,Alchemy,61,1,528
53,108,Tailoring,29,1,522
54,181,Tailoring,27,1,185
55,145,Tailoring,26,1,338
56,96,Tailoring,40,3,203
57,159,Alchemy,34,1,210
58,110,Enchanting,26,1,403
59,91,Tailoring,24,5,179
60,50,Smithing,23,2,93
