SellerKey,SellerName,SellerType,Realm,ReputationTier
1,Merchant Aria,NPC,Tenebris,Gold
2,Bjorn1239,Player,Mythos,Bronze
3,Caelum2978,Player,Aurelia,Bronze
4,Drust410,Player,Solaris,Bronze
5,Quartermaster Eira,NPC,Veridian,Gold
6,Vendor Faelyn,NPC,Eldoria,Gold
7,Gorm9631,Player,Solaris,Bronze
8,Hesper4897,Player,Aurelia,Gold
9,Idra8749,Player,Aurelia,Silver
10,Joren9854,Player,Aurelia,Silver
11,Kael8597,Player,Mythos,Gold
12,Lyra4649,Player,Aurelia,Bronze
13,Myrra3252,Player,Tenebris,Bronze
14,Broker Nyx,NPC,Ashfall,Gold
15,Oryn2419,Player,Solaris,Bronze
16,Pell4115,Player,Tenebris,Silver
17,Quill741,Player,Solaris,Bronze
18,Ronan7936,Player,Mythos,Bronze
19,Sable6498,Player,Veridian,Bronze
20,Thane849,Player,Tenebris,Silver
21,Ulric2219,Player,Mythos,Bronze
22,Vex5554,Player,Aurelia,Bronze
23,Wren5404,Player,Eldoria,Gold
24,Broker Xara,NPC,Tenebris,Platinum
25,Yorick2661,Player,Solaris,Silver
26,Zane9246,Player,Solaris,Bronze
27,Quartermaster Aria,NPC,Aurelia,Silver
28,Broker Bjorn,NPC,Tenebris,Platinum
29,Caelum2384,Player,Tenebris,Silver
30,Drust370,Player,Eldoria,Bronze
31,Eira551,Player,Tenebris,Gold
32,Faelyn3727,Player,Tenebris,Gold
33,Gorm9530,Player,Stormhaven,Bronze
34,Hesper487,Player,Aurelia,Bronze
35,Idra3690,Player,Stormhaven,Bronze
36,Joren1093,Player,Mythos,Silver
37,Kael9314,Player,Aurelia,Bronze
38,Lyra6752,Player,Aurelia,Gold
39,Myrra7626,Player,Eldoria,Gold
40,Nyx7132,Player,Ashfall,Gold
41,Oryn6569,Player,Ashfall,Silver
42,Pell7736,Player,Eldoria,Platinum
43,Quill82,Player,Ashfall,Bronze
44,Ronan8653,Player,Eldoria,Silver
45,Sable7398,Player,Aurelia,Bronze
46,Thane7393,Player,Tenebris,Gold
47,Ulric3934,Player,Stormhaven,Silver
48,Vex8008,Player,Mythos,Gold
49,Wren3818,Player,Tenebris,Bronze
50,Xara490,Player,Eldoria,Platinum
51,Yorick9077,Player,Aurelia,Silver
52,Zane2345,Player,Mythos,Silver
53,Aria1019,Player,Aurelia,Platinum
54,Bjorn6218,Player,Veridian,Silver
55,Trader Caelum,NPC,Aurelia,Platinum
56,Drust8580,Player,Eldoria,Silver
57,Eira4437,Player,Ashfall,Bronze
58,Faelyn45,Player,Solaris,Bronze
59,Gorm9516,Player,Eldoria,Bronze
60,Hesper5146,Player,Ashfall,Bronze
61,Idra2630,Player,Ashfall,Gold
62,Joren6772,Player,Aurelia,Silver
63,Kael5306,Player,Aurelia,Silver
64,Lyra297,Player,Ashfall,Silver
65,Vendor Myrra,NPC,Aurelia,Platinum
66,Nyx4013,Player,Aurelia,Silver
67,Oryn6997,Player,Mythos,Gold
68,Pell8955,Player,Solaris,Gold
69,Quill6105,Player,Stormhaven,Silver
70,Ronan6715,Player,Eldoria,Bronze
71,Sable2546,Player,Stormhaven,Silver
72,Thane2377,Player,Mythos,Silver
73,Ulric4150,Player,Veridian,Silver
74,Vex8527,Player,Aurelia,Silver
75,Wren5241,Player,Tenebris,Silver
76,Xara3480,Player,Mythos,Bronze
77,Yorick7795,Player,Stormhaven,Bronze
78,Zane8532,Player,Solaris,Silver
79,Aria9024,Player,Ashfall,Bronze
80,Bjorn2989,Player,Stormhaven,Bronze
81,Caelum7095,Player,Ashfall,Gold
82,Quartermaster Drust,NPC,Tenebris,Gold
83,Quartermaster Eira,NPC,Veridian,Gold
84,Faelyn3969,Player,Eldoria,Silver
85,Gorm1146,Player,Tenebris,Gold
86,Trader Hesper,NPC,Ashfall,Gold
87,Idra5496,Player,Stormhaven,Gold
88,Joren8864,Player,Mythos,Gold
89,Kael8662,Player,Mythos,Silver
90,Lyra1876,Player,Solaris,Silver
91,Myrra6792,Player,Ashfall,Bronze
92,Merchant Nyx,NPC,Veridian,Gold
93,Oryn6749,Player,Stormhaven,Silver
94,Pell3419,Player,Ashfall,Gold
95,Quill4498,Player,Ashfall,Silver
96,Ronan7175,Player,Eldoria,Bronze
97,Sable4249,Player,Veridian,Bronze
98,Broker Thane,NPC,Eldoria,Platinum
99,Ulric5335,Player,Stormhaven,Silver
100,Vex9986,Player,Solaris,Bronze
101,Wren6382,Player,Mythos,Gold
102,Xara2964,Player,Mythos,Gold
103,Yorick7752,Player,Stormhaven,Silver
104,Zane4079,Player,Ashfall,Silver
105,Aria5341,Player,Eldoria,Bronze
106,Bjorn1368,Player,Stormhaven,Gold
107,Caelum1194,Player,Solaris,Bronze
108,Drust5748,Player,Stormhaven,Gold
109,Eira1867,Player,Mythos,Silver
110,Faelyn9974,Player,Aurelia,Silver
111,Gorm8556,Player,Solaris,Bronze
112,Hesper7008,Player,Mythos,Bronze
113,Idra7346,Player,Solaris,Gold
114,Quartermaster Joren,NPC,Veridian,Gold
115,Kael603,Player,Aurelia,Silver
116,Lyra3923,Player,Veridian,Platinum
117,Myrra4958,Player,Ashfall,Platinum
118,Nyx9152,Player,Stormhaven,Gold
119,Trader Oryn,NPC,Tenebris,Platinum
120,Pell4969,Player,Ashfall,Silver
121,Quill3440,Player,Stormhaven,Gold
122,Ronan1344,Player,Eldoria,Silver
123,Sable1030,Player,Solaris,Bronze
124,Thane3654,Player,Stormhaven,Gold
125,Merchant Ulric,NPC,Mythos,Silver
126,Vex672,Player,Stormhaven,Silver
127,Wren3508,Player,Tenebris,Platinum
128,Xara2020,Player,Mythos,Silver
129,Yorick5547,Player,Solaris,Silver
130,Zane177,Player,Ashfall,Silver
131,Aria3018,Player,Ashfall,Silver
132,Bjorn4532,Player,Veridian,Bronze
133,Broker Caelum,NPC,Solaris,Gold
134,Vendor Drust,NPC,Aurelia,Gold
135,Eira8806,Player,Veridian,Bronze
136,Faelyn3433,Player,Stormhaven,Bronze
137,Gorm4497,Player,Stormhaven,Gold
138,Hesper4203,Player,Stormhaven,Bronze
139,Idra8873,Player,Mythos,Silver
140,Joren9591,Player,Mythos,Silver
141,Kael9622,Player,Aurelia,Silver
142,Lyra7519,Player,Ashfall,Bronze
143,Myrra5031,Player,Veridian,Silver
144,Quartermaster Nyx,NPC,Ashfall,Gold
145,Oryn9804,Player,Ashfall,Silver
146,Pell2845,Player,Eldoria,Bronze
147,Quill3467,Player,Ashfall,Silver
148,Ronan8969,Player,Eldoria,Silver
149,Trader Sable,NPC,Ashfall,Platinum
150,Trader Thane,NPC,Eldoria,Silver
151,Ulric5604,Player,Ashfall,Bronze
152,Trader Vex,NPC,Veridian,Gold
153,Wren8907,Player,Mythos,Bronze
154,Xara9089,Player,Tenebris,Gold
155,Yorick3060,Player,Veridian,Silver
156,Quartermaster Zane,NPC,Ashfall,Platinum
157,Aria9838,Player,Mythos,Platinum
158,Bjorn7422,Player,Stormhaven,Bronze
159,Caelum2156,Player,Ashfall,Silver
160,Quartermaster Drust,NPC,Eldoria,Gold
161,Vendor Eira,NPC,Ashfall,Gold
162,Faelyn6534,Player,Veridian,Silver
163,Merchant Gorm,NPC,Solaris,Platinum
164,Trader Hesper,NPC,Ashfall,Platinum
165,Idra8545,Player,Tenebris,Silver
166,Joren2414,Player,Eldoria,Platinum
167,Kael2997,Player,Ashfall,Platinum
168,Lyra3225,Player,Solaris,Bronze
169,Myrra1774,Player,Mythos,Gold
170,Nyx1555,Player,Solaris,Bronze
171,Oryn3470,Player,Tenebris,Gold
172,Pell8742,Player,Ashfall,Bronze
173,Merchant Quill,NPC,Eldoria,Gold
174,Ronan2832,Player,Ashfall,Gold
175,Sable607,Player,Veridian,Bronze
176,Quartermaster Thane,NPC,Tenebris,Gold
177,Ulric2506,Player,Mythos,Gold
178,Vex7919,Player,Veridian,Bronze
179,Wren5849,Player,Ashfall,Silver
180,Vendor Xara,NPC,Tenebris,Bronze
181,Yorick6348,Player,Stormhaven,Silver
182,Zane4383,Player,Stormhaven,Silver
183,Aria8608,Player,Aurelia,Silver
184,Quartermaster Bjorn,NPC,Aurelia,Gold
185,Caelum9498,Player,Aurelia,Platinum
186,Drust9946,Player,Aurelia,Bronze
187,Eira5890,Player,Tenebris,Bronze
188,Faelyn6745,Player,Tenebris,Bronze
189,Gorm2557,Player,Tenebris,Platinum
190,Hesper8145,Player,Aurelia,Bronze
191,Idra6715,Player,Aurelia,Gold
192,Joren9024,Player,Veridian,Gold
193,Kael2670,Player,Ashfall,Gold
194,Lyra7875,Player,Veridian,Platinum
195,Myrra4702,Player,Stormhaven,Gold
196,Merchant Nyx,NPC,Mythos,Platinum
197,Oryn1712,Player,Eldoria,Bronze
198,Pell5621,Player,Veridian,Gold
199,Quill3194,Player,Aurelia,Silver
200,Ronan1019,Player,Eldoria,Silver
201,Quartermaster Sable,NPC,Solaris,Bronze
202,Thane6528,Player,Aurelia,Platinum
203,Ulric3189,Player,Stormhaven,Gold
204,Vex9552,Player,Tenebris,Silver
205,Wren7794,Player,Eldoria,Silver
206,Quartermaster Xara,NPC,Tenebris,Gold
207,Yorick9345,Player,Stormhaven,Silver
208,Quartermaster Zane,NPC,Veridian,Gold
209,Aria1397,Player,Eldoria,Bronze
210,Bjorn359,Player,Mythos,Bronze
211,Caelum9379,Player,Mythos,Gold
212,Drust9596,Player,Ashfall,Silver
213,Eira7392,Player,Eldoria,Gold
214,Faelyn1030,Player,Aurelia,Silver
215,Trader Gorm,NPC,Ashfall,Gold
