MonsterKey,ItemKey,DropRatePct,MinQty,MaxQty
1,68,32.15,1,3
1,165,59.09,2,4
1,144,28.39,3,8
1,27,41.22,1,2
1,40,59.72,2,2
1,128,12.25,2,8
1,59,55.0,2,3
1,25,20.57,2,9
1,32,34.34,3,3
1,34,74.06,2,10
1,96,48.71,2,4
1,122,34.92,1,3
2,132,25.51,2,10
2,167,33.75,1,5
2,140,10.02,3,4
2,120,56.32,1,4
2,31,30.9,2,6
2,163,40.85,3,11
2,8,24.51,1,7
2,54,29.66,2,7
2,13,74.0,3,7
2,135,20.41,3,3
2,75,47.79,3,4
3,133,12.05,2,11
3,171,28.85,1,9
3,157,30.25,2,5
3,172,54.58,2,10
3,153,13.11,2,6
3,142,37.52,2,2
3,3,24.42,1,9
3,126,52.56,2,7
3,25,20.73,1,2
3,13,11.23,3,5
4,28,16.65,1,9
4,184,14.16,1,7
4,11,31.03,1,9
4,3,24.74,2,3
4,38,44.16,2,2
5,28,15.05,1,8
5,111,18.9,1,1
5,40,23.95,1,4
5,169,56.27,1,7
5,168,32.13,1,10
5,86,53.49,3,4
5,194,78.62,2,9
5,196,60.21,1,8
5,26,7.0,2,6
5,74,48.53,1,6
5,121,11.59,2,8
5,17,52.66,2,5
6,86,54.5,2,4
6,198,38.62,1,5
6,142,12.79,3,7
6,73,41.97,2,5
6,75,65.54,2,6
6,87,13.74,3,9
6,8,61.45,2,11
6,106,46.86,1,9
6,163,25.77,2,11
6,133,44.56,2,8
6,42,56.87,2,2
6,146,23.8,1,3
6,145,14.86,3,4
7,86,24.29,2,9
7,72,40.03,2,2
7,183,17.99,3,3
7,184,21.72,1,8
7,131,34.04,2,2
7,23,6.11,1,4
7,97,13.86,3,12
8,160,83.23,1,4
8,161,49.06,3,3
8,130,43.06,2,4
8,57,78.04,2,10
8,193,60.98,3,7
8,42,11.21,2,6
8,101,48.18,1,4
8,105,21.9,2,7
8,34,50.31,2,5
8,145,46.67,2,3
8,19,56.33,2,6
8,140,9.22,1,4
9,142,57.94,1,9
9,177,16.01,2,3
9,11,27.39,1,8
9,195,50.44,3,4
9,58,60.23,1,8
9,43,62.07,2,2
9,60,15.74,3,4
9,176,40.33,1,4
9,59,28.36,3,3
9,93,9.35,3,7
9,141,27.05,2,5
10,63,41.36,2,7
10,171,27.55,2,11
10,115,54.03,2,2
10,99,27.13,3,6
10,183,20.7,3,11
10,168,70.22,3,10
11,114,41.01,1,9
11,24,36.52,1,5
11,10,3.61,1,6
11,158,47.44,1,1
11,85,8.88,3,4
11,50,35.01,3,9
11,70,48.72,2,2
11,152,9.39,1,6
11,94,7.42,3,3
11,174,26.57,1,6
11,148,50.22,3,8
11,195,46.59,1,8
11,178,18.52,3,3
11,52,50.25,2,10
11,133,42.02,2,11
12,139,64.81,2,5
12,115,18.67,3,10
12,101,80.43,1,7
12,124,69.47,1,9
12,180,9.54,1,10
12,140,20.72,1,2
12,107,18.16,1,5
12,129,13.56,2,2
12,122,21.76,1,7
12,87,18.95,1,4
12,125,14.48,3,5
13,53,26.14,2,8
13,25,12.08,3,12
13,141,55.5,1,2
13,159,3.81,3,7
13,78,25.6,2,7
13,5,33.66,3,11
13,164,14.58,2,7
13,42,18.04,3,11
13,68,31.87,1,9
13,126,47.59,2,3
13,20,10.44,2,11
13,15,73.34,2,7
13,6,7.27,3,6
14,126,38.83,2,5
14,168,32.39,2,2
14,148,28.08,2,6
14,125,12.48,1,4
14,88,46.44,1,10
15,21,46.93,3,3
15,123,19.81,3,3
15,106,61.93,3,9
15,92,11.86,1,4
15,139,59.78,2,5
15,4,49.9,1,4
16,124,27.42,2,9
16,13,42.87,1,6
16,132,16.41,3,6
16,102,9.85,2,9
16,91,23.33,2,8
17,68,12.46,2,7
17,22,60.56,3,7
17,101,2.17,3,4
17,39,62.02,3,10
17,127,3.68,3,3
17,26,54.74,2,11
17,194,12.99,1,4
17,134,30.87,1,3
18,18,14.36,3,12
18,66,27.39,1,8
18,107,24.95,3,5
18,72,51.94,2,3
18,105,31.64,1,5
18,10,25.65,2,8
18,131,59.77,3,7
18,114,39.92,3,11
18,138,47.93,3,9
18,115,29.73,3,5
18,88,23.69,1,8
18,71,64.39,1,1
18,47,13.81,3,5
18,101,4.88,3,10
19,145,20.16,3,8
19,144,40.39,3,6
19,178,32.94,3,11
19,120,32.72,1,10
19,194,33.43,1,6
19,25,24.26,1,3
19,127,15.99,3,10
19,96,56.66,1,10
19,59,11.15,3,11
19,111,36.9,3,12
19,74,32.72,2,5
19,182,18.99,2,11
19,70,33.23,2,8
20,1,31.41,3,7
20,47,22.61,1,1
20,44,30.4,1,4
20,26,24.05,2,5
20,34,56.51,2,2
20,126,31.74,3,6
20,22,50.21,2,5
20,149,16.87,3,5
20,178,7.15,1,6
20,186,34.57,3,5
20,133,5.46,2,10
20,41,5.22,2,11
20,18,36.71,2,9
20,48,23.97,3,7
20,193,3.2,3,5
21,174,11.71,2,2
21,60,6.57,2,9
21,200,5.74,1,8
21,65,41.82,1,6
21,93,22.1,2,3
21,171,39.87,1,8
21,63,28.2,3,12
21,91,9.67,2,8
21,134,11.37,2,5
21,27,28.43,3,8
21,85,50.13,2,10
21,137,31.35,2,11
21,28,48.93,3,4
21,48,66.29,3,9
21,145,25.04,3,5
22,46,25.67,1,1
22,43,22.99,1,10
22,108,22.34,2,3
22,28,39.93,1,2
22,135,17.48,3,8
22,22,46.07,2,5
22,7,22.69,2,6
23,110,48.49,1,1
23,5,16.52,2,9
23,113,32.16,1,3
23,12,3.8,2,8
23,65,11.0,3,9
23,126,38.76,1,1
23,183,23.64,2,4
23,72,21.99,3,11
23,172,25.22,3,3
23,184,16.79,1,10
23,49,27.27,1,9
23,143,59.56,1,7
23,152,12.63,2,4
23,78,27.36,1,4
24,55,24.84,2,3
24,27,24.44,1,5
24,9,10.53,1,7
24,33,9.06,1,6
24,190,47.79,2,4
24,117,25.73,3,12
24,99,27.19,1,10
24,78,25.85,3,4
24,143,29.93,1,8
24,29,15.45,2,9
24,57,10.86,1,2
24,133,41.71,3,4
24,97,29.32,1,10
25,167,32.46,2,4
25,131,27.27,1,6
25,144,7.07,2,6
25,28,49.16,2,2
25,3,6.34,2,3
25,87,44.42,2,7
25,19,22.04,2,7
25,72,26.85,2,4
25,46,22.96,2,11
25,184,40.84,3,6
25,176,31.38,2,9
25,164,26.25,2,11
25,32,34.9,3,8
25,11,13.11,1,9
25,130,22.21,2,5
26,35,50.6,2,4
26,39,28.07,2,5
26,47,51.2,3,5
26,157,17.02,2,4
26,155,53.61,1,7
27,45,32.43,3,11
27,138,25.45,1,7
27,184,68.31,3,12
27,61,17.61,1,3
27,65,1.63,3,6
27,171,61.6,1,4
27,179,37.41,3,11
27,183,55.1,1,10
28,103,23.11,3,3
28,116,12.23,3,8
28,180,45.06,3,7
28,197,24.0,1,6
28,156,35.5,3,12
28,14,45.13,3,10
29,115,25.89,3,10
29,75,50.34,3,9
29,7,35.86,2,5
29,183,85.28,3,12
29,66,35.66,2,11
29,142,61.54,2,6
29,140,26.91,2,8
29,52,3.01,3,5
29,14,6.97,1,2
29,77,13.5,3,9
29,64,33.93,2,5
29,141,27.63,1,3
29,164,15.81,3,10
29,46,9.73,2,5
29,106,87.74,3,9
30,133,22.14,1,3
30,89,53.62,3,8
30,69,18.33,3,12
30,50,25.42,2,6
30,165,18.39,2,6
30,80,17.71,2,11
30,149,32.41,3,6
30,19,7.91,3,8
30,90,28.53,3,5
31,193,12.85,1,4
31,139,34.01,3,7
31,169,49.36,1,10
31,109,19.9,2,4
31,49,32.94,2,11
31,143,9.13,2,4
31,101,67.72,2,10
31,36,35.17,2,8
31,83,4.38,2,9
32,176,19.61,1,2
32,54,43.05,2,4
32,15,26.58,1,7
32,120,18.63,1,7
32,22,30.9,3,7
32,56,6.02,2,7
32,102,43.42,3,3
32,58,35.82,1,5
33,108,42.97,2,8
33,183,73.7,1,2
33,21,48.56,3,11
33,31,53.49,3,6
33,77,9.67,1,2
33,132,16.28,1,6
33,117,26.22,1,3
33,16,63.35,3,6
33,192,54.62,3,12
33,62,20.44,3,9
33,72,27.6,2,5
33,125,27.24,1,3
34,143,43.14,3,9
34,33,12.5,3,9
34,163,37.8,2,9
34,102,51.08,1,2
34,170,8.55,2,3
34,18,39.27,2,11
34,9,36.42,2,2
34,128,10.34,3,6
35,144,26.2,1,6
35,136,48.0,3,11
35,73,17.1,2,3
35,1,26.9,3,5
35,49,19.38,3,12
35,153,55.03,2,5
35,143,15.55,1,6
35,67,21.84,2,6
35,126,39.97,3,5
35,40,25.05,3,5
35,53,30.37,3,4
35,190,33.57,1,2
35,83,14.54,2,2
35,50,45.38,1,10
35,98,61.91,1,7
36,53,21.04,1,10
36,168,82.75,3,10
36,121,60.41,3,3
