ItemKey,AcquisitionMethod,PrimaryFlag
1,MonsterDrop,False
1,Vendor,True
2,Treasure,True
3,Gathered,False
3,Treasure,False
3,MonsterDrop,True
4,Gathered,True
5,MonsterDrop,True
6,MonsterDrop,False
6,Gathered,True
6,Vendor,False
7,MonsterDrop,False
7,Vendor,True
7,Gathered,False
8,Treasure,False
8,QuestReward,True
9,Crafted,False
9,QuestReward,True
10,QuestReward,False
10,Crafted,True
11,MonsterDrop,False
11,Gathered,True
12,Vendor,True
12,MonsterDrop,False
13,Crafted,False
13,MonsterDrop,True
13,Treasure,False
14,Gathered,True
14,MonsterDrop,False
15,QuestReward,False
15,MonsterDrop,True
15,Treasure,False
16,Gathered,True
17,MonsterDrop,True
18,MonsterDrop,True
18,Treasure,False
18,QuestReward,False
19,MonsterDrop,False
19,QuestReward,True
19,Crafted,False
20,MonsterDrop,True
21,MonsterDrop,False
21,QuestReward,True
22,Treasure,True
23,Crafted,True
23,Treasure,False
23,QuestReward,False
24,MonsterDrop,False
24,QuestReward,True
25,Vendor,False
25,Crafted,True
26,QuestReward,True
27,QuestReward,False
27,Crafted,True
27,Vendor,False
28,QuestReward,False
28,Crafted,True
29,MonsterDrop,True
30,Treasure,True
30,QuestReward,False
31,MonsterDrop,False
31,Crafted,True
31,Treasure,False
32,MonsterDrop,False
32,Treasure,True
32,Gathered,False
33,QuestReward,False
33,Vendor,True
33,Treasure,False
34,Gathered,False
34,Vendor,True
35,Gathered,False
35,MonsterDrop,True
36,Vendor,True
37,Crafted,True
37,QuestReward,False
38,Treasure,False
38,Gathered,True
39,Gathered,True
39,Treasure,False
40,Treasure,False
40,Gathered,True
40,MonsterDrop,False
41,Gathered,False
41,Vendor,True
42,Crafted,False
42,QuestReward,True
43,MonsterDrop,False
43,Treasure,True
44,Treasure,True
45,Crafted,False
45,Vendor,False
45,QuestReward,True
46,Gathered,True
47,Treasure,True
48,QuestReward,False
48,Vendor,False
48,Treasure,True
49,Treasure,False
49,Gathered,True
49,MonsterDrop,False
50,Crafted,False
50,MonsterDrop,True
50,Treasure,False
51,Vendor,True
52,MonsterDrop,True
53,Gathered,False
53,MonsterDrop,True
54,Treasure,False
54,Gathered,True
55,Vendor,True
55,MonsterDrop,False
56,Gathered,True
56,Vendor,False
57,QuestReward,True
57,Crafted,False
57,Treasure,False
58,MonsterDrop,False
58,QuestReward,True
58,Treasure,False
59,Crafted,True
59,Vendor,False
60,MonsterDrop,False
60,QuestReward,True
60,Crafted,False
61,Crafted,False
61,QuestReward,True
62,Crafted,True
63,Crafted,True
64,QuestReward,True
64,Vendor,False
65,Gathered,True
66,Crafted,True
66,Treasure,False
67,Gathered,True
68,Vendor,True
69,QuestReward,True
70,Gathered,False
70,Vendor,True
70,MonsterDrop,False
71,Vendor,False
71,QuestReward,False
71,Crafted,True
72,Crafted,True
72,QuestReward,False
73,Vendor,True
74,Treasure,True
75,Crafted,False
75,QuestReward,True
76,MonsterDrop,True
77,QuestReward,False
77,Vendor,False
77,Crafted,True
78,Gathered,True
79,MonsterDrop,False
79,QuestReward,True
79,Crafted,False
80,QuestReward,False
80,Treasure,False
80,Vendor,True
81,Treasure,True
82,Vendor,False
82,QuestReward,False
82,Treasure,True
83,Gathered,False
83,MonsterDrop,True
83,Treasure,False
84,Treasure,True
85,MonsterDrop,True
85,Vendor,False
86,MonsterDrop,True
86,QuestReward,False
86,Treasure,False
87,Gathered,True
88,MonsterDrop,True
88,Gathered,False
88,Vendor,False
89,Crafted,False
89,MonsterDrop,True
90,Gathered,True
90,Vendor,False
91,QuestReward,True
92,MonsterDrop,True
93,Vendor,True
93,Gathered,False
94,QuestReward,False
94,Treasure,True
95,MonsterDrop,True
96,Treasure,True
97,Treasure,True
97,Crafted,False
97,QuestReward,False
98,Vendor,True
98,Gathered,False
99,QuestReward,False
99,Crafted,True
99,MonsterDrop,False
100,Gathered,True
101,Crafted,False
101,QuestReward,False
101,Treasure,True
102,Vendor,True
102,Gathered,False
103,Gathered,True
104,Crafted,True
104,MonsterDrop,False
104,QuestReward,False
105,QuestReward,True
106,MonsterDrop,True
107,MonsterDrop,True
107,Gathered,False
107,Vendor,False
108,Vendor,True
109,Crafted,True
109,Treasure,False
109,MonsterDrop,False
110,QuestReward,False
110,Crafted,False
110,MonsterDrop,True
111,Vendor,True
111,QuestReward,False
111,Treasure,False
112,QuestReward,True
113,Gathered,True
114,Crafted,False
114,Vendor,True
114,QuestReward,False
115,Gathered,False
115,Vendor,True
116,Crafted,True
117,Crafted,True
117,QuestReward,False
117,MonsterDrop,False
118,Vendor,True
119,Gathered,False
119,Vendor,True
120,Crafted,False
120,QuestReward,True
120,Vendor,False
121,Crafted,False
121,Vendor,True
121,QuestReward,False
122,Crafted,True
123,QuestReward,False
123,Crafted,False
123,Vendor,True
124,MonsterDrop,True
124,Crafted,False
125,Gathered,False
125,Vendor,True
126,QuestReward,True
127,Gathered,True
127,MonsterDrop,False
128,QuestReward,True
128,Crafted,False
128,MonsterDrop,False
129,Treasure,True
129,Crafted,False
130,Vendor,False
130,Gathered,True
131,Crafted,False
131,Vendor,False
131,QuestReward,True
132,MonsterDrop,True
133,MonsterDrop,True
134,Gathered,True
135,MonsterDrop,False
135,Vendor,True
136,Vendor,False
136,Gathered,True
137,Treasure,True
137,MonsterDrop,False
137,QuestReward,False
138,QuestReward,True
139,Vendor,True
140,Gathered,False
140,Vendor,False
140,MonsterDrop,True
141,MonsterDrop,True
141,Treasure,False
141,QuestReward,False
142,Treasure,True
142,Crafted,False
142,QuestReward,False
143,QuestReward,True
144,QuestReward,True
144,Crafted,False
144,MonsterDrop,False
145,QuestReward,True
146,Crafted,False
146,Treasure,True
147,Treasure,False
147,Crafted,False
147,MonsterDrop,True
148,MonsterDrop,False
148,Vendor,False
148,Gathered,True
149,QuestReward,False
149,Crafted,True
149,Vendor,False
150,Crafted,True
150,QuestReward,False
150,Vendor,False
151,Vendor,False
151,MonsterDrop,True
151,Gathered,False
152,Gathered,True
152,Treasure,False
153,QuestReward,True
154,Vendor,True
155,Treasure,True
155,QuestReward,False
156,Vendor,True
156,Gathered,False
156,MonsterDrop,False
157,Gathered,False
157,Vendor,True
158,Gathered,False
158,MonsterDrop,True
159,MonsterDrop,True
160,QuestReward,True
161,Vendor,True
161,MonsterDrop,False
162,Vendor,False
162,QuestReward,True
163,Crafted,True
164,MonsterDrop,False
164,QuestReward,True
164,Crafted,False
165,MonsterDrop,False
165,Vendor,True
165,Gathered,False
166,Treasure,False
166,QuestReward,True
166,Crafted,False
167,MonsterDrop,False
167,Gathered,True
168,Gathered,False
168,MonsterDrop,False
168,Vendor,True
169,MonsterDrop,False
169,Vendor,False
169,Gathered,True
170,Gathered,True
171,Gathered,False
171,Vendor,True
171,MonsterDrop,False
172,MonsterDrop,False
172,Vendor,True
173,Treasure,True
173,MonsterDrop,False
173,Gathered,False
174,Gathered,False
174,Treasure,True
175,Vendor,False
175,Gathered,True
176,QuestReward,True
177,Gathered,False
177,Vendor,True
178,Crafted,True
179,Vendor,True
180,Gathered,False
180,MonsterDrop,True
181,QuestReward,False
181,Crafted,True
182,Crafted,True
183,QuestReward,False
183,Crafted,True
184,Vendor,False
184,Gathered,True
184,MonsterDrop,False
185,Treasure,True
185,MonsterDrop,False
185,QuestReward,False
186,QuestReward,True
186,Crafted,False
187,Vendor,True
188,Gathered,False
188,Treasure,False
188,MonsterDrop,True
189,Treasure,True
189,MonsterDrop,False
190,QuestReward,True
191,QuestReward,True
192,MonsterDrop,True
193,MonsterDrop,True
193,Vendor,False
194,Crafted,True
194,Vendor,False
195,MonsterDrop,True
196,MonsterDrop,True
197,Vendor,True
197,MonsterDrop,False
197,Gathered,False
198,QuestReward,True
199,Treasure,True
199,Crafted,False
200,Vendor,True
200,Gathered,False
