DateKey,ItemKey,OpenPrice,ClosePrice,HighPrice,LowPrice,AvgPrice,Volume,ListingsCount
20230101,1,65.52,66.56,69.48,65.03,66.65,350,46
20230101,2,68.36,64.39,69.34,60.67,65.69,215,46
20230101,3,258.38,245.25,260.65,240.46,251.19,173,46
20230101,4,9927.28,9679.24,9941.73,9452.1,9750.09,146,25
20230101,5,55.97,56.26,58.72,54.71,56.41,253,39
20230101,6,13.81,13.77,14.19,13.54,13.83,407,60
20230101,7,453.92,474.33,480.54,443.96,463.19,357,46
20230101,8,2.5,2.08,2.58,2.05,2.3,273,59
20230101,9,10291.75,10328.21,10409.35,9980.11,10252.36,437,69
20230101,10,32.14,29.15,33.12,29.11,30.88,145,31
20230101,11,35.28,37.95,38.09,34.57,36.47,366,61
20230101,12,477.48,482.28,482.29,450.12,473.04,140,21
20230101,13,1.65,1.54,1.67,1.51,1.59,271,56
20230101,14,64.07,65.72,66.07,61.24,64.28,350,51
20230101,15,8863.79,8235.65,9029.91,7911.05,8510.1,292,67
20230101,16,1.62,1.52,1.69,1.44,1.57,314,57
20230101,17,4134.07,3955.62,4208.22,3880.35,4044.57,295,58
20230101,18,224.79,210.42,230.43,200.85,216.62,236,54
20230101,19,4444.26,4158.85,4612.34,4033.49,4312.24,266,54
20230101,20,370.8,338.37,379.4,330.31,354.72,111,24
20230101,21,21.23,19.25,22.33,19.19,20.5,302,54
20230101,22,2245.0,2144.82,2307.41,2103.16,2200.1,284,59
20230101,23,756.19,729.88,757.76,729.16,743.25,190,58
20230101,24,78.28,70.12,81.44,67.8,74.41,290,58
20230101,25,77.87,82.39,90.08,73.69,81.01,207,38
20230101,26,51.15,54.13,55.69,49.87,52.71,380,49
20230101,27,34.04,36.31,36.81,33.92,35.27,424,58
20230101,28,14383.62,14954.44,15471.11,13872.91,14670.52,340,38
20230101,29,70.55,69.03,72.01,66.99,69.65,229,48
20230101,30,1536.14,1598.12,1637.08,1490.05,1565.35,205,36
20230101,31,216.45,203.66,216.53,193.56,207.55,186,54
20230101,32,235.39,214.47,252.15,214.46,229.12,215,57
20230101,33,50.03,44.61,50.21,43.59,47.11,242,52
20230101,34,18.4,18.83,18.89,17.58,18.42,294,56
20230101,35,63.48,69.73,69.92,60.41,65.89,383,67
20230101,36,90.55,89.71,92.37,85.88,89.63,199,34
20230101,37,12.64,12.62,12.85,12.55,12.67,347,67
20230101,38,183.59,172.57,189.12,169.36,178.66,234,54
20230101,39,104.25,104.45,105.74,102.12,104.14,286,75
20230101,40,30.57,27.56,31.18,26.44,28.94,205,35
20230101,41,9626.1,8415.95,9707.72,7992.02,8935.45,53,15
20230101,42,5504.58,6134.26,6470.41,5433.42,5885.67,461,50
20230101,43,4248.28,4101.48,4326.97,4034.46,4177.8,307,70
20230101,44,69.78,67.77,69.95,66.49,68.5,265,47
20230101,45,66.24,67.53,70.05,63.34,66.79,442,62
20230101,46,478.83,465.22,481.54,464.2,472.45,248,45
20230101,47,109.09,97.35,114.45,96.5,104.35,288,60
