RecipeKey,IngredientItemKey,QtyRequired
1,174,3
1,169,2
1,148,10
2,158,9
2,168,1
2,90,2
2,132,9
2,191,1
3,67,2
3,75,10
3,85,6
3,14,7
4,174,5
4,167,7
5,76,5
5,140,10
5,193,3
5,54,6
6,118,10
6,180,7
7,45,6
7,132,1
7,55,10
8,162,6
8,114,6
8,151,5
8,167,10
9,44,6
9,111,5
9,180,6
9,36,1
10,107,5
10,152,3
11,95,7
11,3,5
11,140,7
11,167,9
12,200,9
12,73,10
13,151,7
13,70,2
13,143,7
13,36,10
14,132,8
14,90,7
15,192,5
15,35,2
15,39,1
15,167,9
15,154,2
16,172,5
16,93,1
16,158,2
17,41,4
17,127,3
17,46,7
17,76,9
18,115,1
18,56,10
19,140,5
19,177,8
19,187,6
20,174,10
20,172,3
21,107,8
21,34,5
21,45,6
21,108,1
22,87,10
22,194,7
22,96,10
23,140,9
23,76,10
23,180,7
24,200,7
24,156,10
24,172,6
24,76,2
25,197,9
25,115,2
25,177,8
25,41,6
25,38,9
26,8,2
26,3,10
26,61,8
27,102,1
27,171,2
28,98,2
28,103,8
29,135,6
29,180,10
30,119,9
30,35,1
30,63,10
30,16,8
31,127,8
31,87,1
31,6,7
31,172,7
32,106,7
32,155,2
32,44,5
32,167,2
33,161,8
33,87,8
33,187,4
33,46,1
34,36,8
34,162,9
34,108,8
35,200,3
35,87,6
35,184,9
35,54,2
36,4,7
36,107,10
36,187,7
36,102,1
37,174,9
37,76,4
37,135,7
37,5,6
37,98,1
38,92,5
38,173,10
39,39,8
39,192,4
40,54,4
40,168,7
40,167,3
41,85,3
41,197,1
42,49,10
42,169,4
43,12,4
43,81,9
43,114,7
43,61,7
44,197,9
44,61,9
44,194,3
45,93,4
45,193,8
45,7,9
45,161,1
45,32,4
46,150,8
46,80,9
46,63,9
46,140,10
46,87,9
47,106,2
47,132,2
47,179,9
47,12,8
47,118,2
48,152,4
48,184,9
48,127,5
48,148,8
49,55,8
49,85,9
49,106,8
49,103,8
50,61,7
50,35,6
50,32,8
50,4,5
50,12,6
51,51,4
51,92,5
51,39,6
51,167,7
52,16,5
52,100,4
52,134,5
53,16,3
53,93,4
54,41,4
54,33,4
54,88,7
54,162,7
55,165,5
55,111,1
55,51,2
55,90,3
56,152,6
56,54,2
56,180,5
57,102,9
57,175,3
58,54,2
58,136,1
58,33,10
58,169,3
59,7,7
59,134,6
59,61,5
60,171,7
60,130,7
60,113,8
60,80,10
