TradeKey,DateKey,ItemKey,SellerKey,BuyerSellerKey,Quantity,UnitPrice,TotalPrice
1,20230110,160,145,122,3,61.02,183.06
2,20230213,157,273,39,11,2092.31,23015.41
3,20230220,62,185,297,7,40.45,283.15
4,20230324,118,343,261,11,16.58,182.38
5,20230319,119,116,233,3,83.72,251.16
6,20230212,92,86,187,4,21.33,85.32
7,20230219,1,189,374,14,70.79,991.06
8,20230309,25,26,285,18,79.9,1438.2
9,20230317,75,183,383,19,6675.79,126840.01
10,20230219,110,382,134,12,916.02,10992.24
11,20230108,27,340,383,10,36.75,367.5
12,20230129,49,331,167,11,84.8,932.8
13,20230330,32,240,33,12,214.99,2579.88
14,20230305,1,369,346,4,88.71,354.84
15,20230226,111,22,69,15,2.69,40.35
16,20230103,64,362,294,14,5068.67,70961.38
17,20230113,83,364,15,18,26.62,479.16
18,20230305,180,40,110,17,437.67,7440.39
19,20230224,27,276,105,11,35.31,388.41
20,20230310,146,222,43,20,23117.64,462352.8
21,20230102,83,329,136,11,23.78,261.58
22,20230215,42,322,247,16,5104.22,81667.52
23,20230310,104,296,3,10,510.54,5105.4
24,20230204,99,271,369,18,48.82,878.76
25,20230320,140,55,41,8,308.16,2465.28
26,20230102,61,18,8,8,577.89,4623.12
27,20230314,18,72,290,9,229.38,2064.42
28,20230321,161,265,49,20,16.46,329.2
29,20230105,72,92,359,10,9476.3,94763.0
30,20230218,22,66,46,3,2122.24,6366.72
31,20230129,98,18,287,2,2268.82,4537.64
32,20230129,123,310,381,6,3.67,22.02
33,20230124,14,313,79,10,60.59,605.9
34,20230125,156,5,116,16,63.96,1023.36
35,20230107,17,206,148,19,3786.33,71940.27
36,20230104,83,115,156,19,24.46,464.74
37,20230207,122,108,10,5,10075.74,50378.7
38,20230308,27,38,147,16,35.44,567.04
39,20230125,46,192,83,20,457.61,9152.2
40,20230225,142,134,144,7,61.17,428.19
41,20230204,8,154,21,11,2.15,23.65
42,20230218,30,315,174,15,1642.6,24639.0
43,20230303,184,139,84,10,8.56,85.6
44,20230130,77,61,138,14,16796.03,235144.42
45,20230127,48,39,65,12,386.5,4638.0
46,20230317,177,230,134,10,75.69,756.9
47,20230208,92,381,51,14,19.47,272.58
48,20230304,66,10,242,13,7044.35,91576.55
49,20230212,77,100,273,20,17633.49,352669.8
50,20230128,176,337,226,3,45.96,137.88
51,20230111,165,291,305,3,32.14,96.42
52,20230217,60,146,72,5,2283.15,11415.75
53,20230303,180,52,207,10,284.66,2846.6
54,20230311,17,327,17,14,4253.72,59552.08
55,20230121,60,170,131,16,1612.75,25804.0
56,20230208,121,392,228,4,1887.18,7548.72
57,20230302,149,353,44,18,2.23,40.14
58,20230219,47,65,200,13,96.1,1249.3
59,20230328,31,248,97,15,227.95,3419.25
60,20230305,35,12,14,6,84.67,508.02
61,20230105,150,150,199,14,4.14,57.96
62,20230306,159,377,368,8,16016.43,128131.44
63,20230211,30,118,79,2,1466.4,2932.8
64,20230310,132,126,316,9,4305.61,38750.49
65,20230102,199,277,139,11,1335.17,14686.87
66,20230312,36,262,224,13,144.54,1879.02
67,20230122,74,304,233,12,4.78,57.36
68,20230108,84,292,178,14,9.28,129.92
69,20230113,43,242,115,11,4108.82,45197.02
70,20230328,100,312,199,6,46.16,276.96
71,20230209,153,291,57,2,61149.33,122298.66
72,20230217,198,100,271,8,420.25,3362.0
73,20230210,125,162,220,14,279.44,3912.16
74,20230122,168,217,108,1,27.12,27.12
75,20230316,101,287,122,19,20.9,397.1
76,20230312,98,141,296,15,3720.18,55802.7
77,20230118,29,276,249,6,60.96,365.76
78,20230215,156,114,202,11,75.53,830.83
79,20230118,71,234,391,15,5404.16,81062.4
80,20230122,191,333,381,10,19.03,190.3
81,20230124,60,294,52,18,1675.14,30152.52
82,20230130,168,321,161,17,26.41,448.97
83,20230319,114,207,242,20,1011.68,20233.6
84,20230213,152,301,175,2,21.23,42.46
85,20230124,86,61,321,8,22836.91,182695.28
86,20230323,181,329,215,3,42577.06,127731.18
87,20230205,42,11,9,13,5599.91,72798.83
88,20230109,29,123,155,10,61.29,612.9
89,20230219,130,207,340,12,101.48,1217.76
90,20230220,45,3,79,5,54.59,272.95
91,20230206,181,398,129,14,39950.85,559311.9
92,20230208,184,72,377,15,9.68,145.2
93,20230305,50,241,185,9,1029.76,9267.84
94,20230221,140,380,161,7,180.13,1260.91
95,20230215,113,153,223,14,7.79,109.06
96,20230125,88,109,98,20,38.49,769.8
97,20230330,32,214,320,10,220.3,2203.0
98,20230222,192,99,186,9,2070.77,18636.93
99,20230327,106,226,167,11,188.13,2069.43
100,20230213,80,8,11,10,118.8,1188.0
101,20230111,53,20,326,6,2253.54,13521.24
102,20230113,157,92,255,16,1993.81,31900.96
103,20230227,150,244,72,3,4.67,14.01
104,20230123,17,161,373,20,3322.53,66450.6
105,20230125,118,354,142,20,15.93,318.6
106,20230215,75,275,13,16,5584.23,89347.68
107,20230204,22,139,326,19,1837.96,34921.24
108,20230211,147,288,204,4,612.84,2451.36
109,20230118,37,80,386,4,12.27,49.08
110,20230127,159,285,38,8,17243.44,137947.52
111,20230128,172,135,292,20,40.41,808.2
112,20230203,194,86,24,2,18.51,37.02
113,20230122,172,120,351,7,39.63,277.41
114,20230205,32,201,25,10,339.11,3391.1
115,20230221,107,176,36,12,134.5,1614.0
116,20230127,49,71,30,5,79.14,395.7
117,20230222,181,360,125,11,41055.71,451612.81
118,20230117,111,192,32,2,2.11,4.22
119,20230316,122,330,176,14,11545.15,161632.1
120,20230107,143,4,230,8,8194.08,65552.64
121,20230206,5,57,158,19,59.6,1132.4
122,20230210,57,189,171,12,53.8,645.6
123,20230322,199,135,123,6,1277.79,7666.74
124,20230319,14,168,327,4,116.56,466.24
125,20230121,143,231,28,10,8070.89,80708.9
126,20230110,114,128,75,16,971.99,15551.84
127,20230319,124,316,34,13,23.61,306.93
128,20230324,53,106,277,3,3228.74,9686.22
129,20230327,73,268,284,20,27.9,558.0
130,20230205,151,309,276,9,12.83,115.47
131,20230304,78,299,261,5,7.95,39.75
132,20230318,153,82,18,1,66164.97,66164.97
133,20230322,161,188,41,10,15.61,156.1
134,20230123,42,324,252,15,4815.28,72229.2
135,20230219,45,189,283,6,58.01,348.06
136,20230316,39,132,352,2,114.51,229.02
137,20230102,18,4,261,15,208.42,3126.3
138,20230326,88,340,137,15,42.6,639.0
139,20230316,22,338,148,6,2322.35,13934.1
140,20230204,13,366,87,20,1.74,34.8
141,20230126,140,205,282,12,159.18,1910.16
142,20230131,97,271,181,17,26.03,442.51
143,20230213,23,110,100,6,783.76,4702.56
144,20230227,21,196,322,11,21.99,241.89
145,20230319,63,183,148,16,1818.14,29090.24
146,20230324,133,265,215,20,78.88,1577.6
