ItemKey,Item,Category
1,Elixir of Vitality,Potions
2,Flamebrand Longsword,Enchanted Weapons
3,Scroll of Teleportation,Scrolls
4,Amulet of the Watcher,Artifacts
5,Potion of Invisibility,Potions
6,Frostbite Dagger,Enchanted Weapons
7,Scroll of Fireball,Scrolls
8,Dragonscale Reagent,Reagents
9,Philter of Love,Potions
10,Stormcaller Staff,Enchanted Weapons
11,Scroll of Mending,Scrolls
12,Orb of True Sight,Artifacts
13,Draught of Giant Strength,Potions
14,Moonsilver Rapier,Enchanted Weapons
15,Scroll of Warding,Scrolls
16,Mandrake Root,Reagents
17,Tonic of Quickness,Potions
18,Runed Warhammer,Enchanted Weapons
19,Scroll of Silence,Scrolls
20,Cloak of Whispers,Artifacts
21,Phoenix Feather,Reagents
22,Basilisk Eye,Reagents
23,Ring of Embers,Artifacts
24,Sleeping Draught,Potions
