SalesKey,Gold,Units,DateKey,ShopKey,ItemKey,CustomerKey
1,1275.6621581955678,11.0,20230101,1,2,9
2,597.3738402207179,4.0,20230101,1,7,4
3,102.30962876433443,1.0,20230101,1,9,8
4,83.44427066962386,1.0,20230101,1,13,18
5,86.52515581893095,1.0,20230101,1,19,5
6,60.03232769382621,1.0,20230101,1,23,12
7,637.3225459784147,2.0,20230101,2,2,13
8,1097.4856043680077,9.0,20230101,2,3,2
9,137.90684074189994,1.0,20230101,2,7,12
10,726.8317140140214,3.0,20230101,2,8,4
11,182.8293286947494,1.0,20230101,2,8,6
12,44.43533019361135,1.0,20230101,2,16,18
13,51.12312577428658,1.0,20230101,2,19,12
14,360.7713952280981,1.0,20230101,2,22,3
15,47.27139872635142,1.0,20230101,2,23,18
16,2262.683812701365,12.0,20230101,3,2,3
17,50.4770791081357,1.0,20230101,3,12,11
18,216.21962954266215,1.0,20230101,3,15,2
19,87.63114936081944,1.0,20230101,3,16,6
20,28.92565365087073,1.0,20230101,3,18,14
21,126.53729513355653,1.0,20230101,3,22,5
22,27.283962646772586,1.0,20230101,3,23,15
23,217.3716283223982,8.0,20230101,4,1,15
24,1037.1967919197032,9.0,20230101,4,4,3
25,84.41774535404589,1.0,20230101,4,4,14
26,64.44626575803906,1.0,20230101,4,7,14
27,38.71886607450393,1.0,20230101,4,7,16
28,56.71960368658194,1.0,20230101,4,15,12
29,42.374724757345646,1.0,20230101,4,22,20
30,24.838003990904916,1.0,20230101,5,13,11
31,70.20277611718161,1.0,20230101,5,14,8
32,34.086477250599735,1.0,20230101,5,15,12
33,32.54842593822553,1.0,20230101,5,17,9
34,14.401072296563568,1.0,20230101,5,19,11
35,67.88755682446718,2.0,20230101,5,20,5
36,130.67517444523298,1.0,20230101,6,2,19
37,143.80547060717302,1.0,20230101,6,12,9
38,65.49222757410273,1.0,20230101,6,15,9
39,61.42927805573325,1.0,20230101,6,16,17
40,22.58170219220076,1.0,20230101,6,19,18
41,20.197692718397768,1.0,20230101,6,21,19
42,84.0397432710159,1.0,20230101,6,24,4
43,363.12612832874413,1.0,20230101,7,2,15
44,154.43072441755166,1.0,20230101,7,4,14
45,116.99208331008471,1.0,20230101,7,7,6
46,70.20407110626037,2.0,20230101,7,8,14
47,75.89925667779906,1.0,20230101,7,9,13
48,224.87432500307884,1.0,20230101,7,16,2
49,331.3829596760381,7.0,20230101,8,2,15
50,125.87815993491557,1.0,20230101,8,8,12
51,266.2493308563927,1.0,20230101,8,21,4
52,26.488506400081295,1.0,20230101,8,24,10
53,293.137725803277,1.0,20230102,1,9,3
54,240.68627439081544,1.0,20230102,1,12,2
55,41.1297796855114,1.0,20230102,1,13,12
56,138.9124509471888,1.0,20230102,1,14,9
57,96.05698589899175,1.0,20230102,1,15,6
58,110.84852608432625,2.0,20230102,1,16,9
59,45.8738948472736,1.0,20230102,1,20,12
60,33.14576929721806,1.0,20230102,1,20,14
61,21.026228730206583,1.0,20230102,1,20,17
62,75.37351272104573,1.0,20230102,1,23,6
63,31.8214725835867,1.0,20230102,1,24,5
64,700.7977420751938,9.0,20230102,2,3,6
65,178.53164913529713,1.0,20230102,2,6,6
66,158.53356417757408,1.0,20230102,2,9,2
67,85.74451498686243,1.0,20230102,2,11,13
68,56.81895729082525,1.0,20230102,2,14,7
69,111.53532507854287,1.0,20230102,2,15,6
70,77.2206870322415,1.0,20230102,2,15,7
71,35.07103370430969,1.0,20230102,2,19,14
72,48.70293237618376,1.0,20230102,2,20,10
73,1535.6873152993528,7.0,20230102,3,1,9
74,45.006873024039045,1.0,20230102,3,8,11
75,56.59836674080581,1.0,20230102,3,9,14
76,48.39909062706472,1.0,20230102,3,14,7
77,62.06669062239617,1.0,20230102,3,17,6
78,602.1862498424941,2.0,20230102,3,19,1
79,69.03539339156703,1.0,20230102,4,7,20
80,56.81778080992726,1.0,20230102,4,8,17
81,41.72027719963107,1.0,20230102,4,9,12
82,56.76234738487988,1.0,20230102,4,14,5
83,32.40077366333794,1.0,20230102,4,17,9
84,8.958264830832467,1.0,20230102,4,17,14
85,131.5015464277274,1.0,20230102,4,20,3
86,32.13033513082082,1.0,20230102,4,21,17
87,121.51875579347795,1.0,20230102,4,22,4
88,21.591896167325025,1.0,20230102,4,23,17
89,29.27550197785647,1.0,20230102,4,24,9
90,3442.4574117374837,13.0,20230102,5,2,1
91,80.63954253123902,1.0,20230102,5,2,16
92,13.83489257205877,1.0,20230102,5,9,15
93,97.90202063471536,1.0,20230102,5,10,2
94,132.52363146223735,1.0,20230102,5,12,2
95,9.075553426885488,1.0,20230102,5,17,19
96,33.195956360697785,1.0,20230102,5,18,8
97,288.395524720627,2.0,20230102,5,22,1
98,33.135976059734325,1.0,20230102,5,22,12
99,42.408574096033234,1.0,20230102,6,5,16
100,396.6952407769163,5.0,20230102,6,10,1
101,182.50873752504776,1.0,20230102,6,11,3
102,69.96194697445769,2.0,20230102,6,14,8
103,95.36239367036927,2.0,20230102,6,17,4
104,19.253567855060332,1.0,20230102,6,17,10
105,154.6128040837544,1.0,20230102,6,19,4
106,195.8000377021491,2.0,20230102,7,4,13
107,43.50795309228052,1.0,20230102,7,5,19
108,75.33799949739988,1.0,20230102,7,10,18
109,28.72315499969734,1.0,20230102,7,15,14
110,44.93493555874413,1.0,20230102,7,16,17
111,13.233665684996215,1.0,20230102,7,18,19
112,106.80140637133456,1.0,20230102,7,19,2
113,178.50785540483537,1.0,20230102,8,2,19
114,193.09646113905083,1.0,20230102,8,3,17
115,170.0962225439794,1.0,20230102,8,4,18
116,194.17457890203994,3.0,20230102,8,4,20
117,181.02177103238455,1.0,20230102,8,6,9
118,57.78365282973342,1.0,20230102,8,7,17
119,211.4510396752282,1.0,20230102,8,9,3
120,24.70916642073105,1.0,20230102,8,12,15
121,16.27005969598636,1.0,20230102,8,23,14
122,385.79929608234727,14.0,20230103,1,1,10
123,430.5515016699319,2.0,20230103,1,1,13
124,509.1968770069548,1.0,20230103,1,2,6
125,341.70470196085614,6.0,20230103,1,4,5
126,326.8136488993965,1.0,20230103,1,4,8
127,29.502142931182195,1.0,20230103,1,9,18
128,21.28374211082608,1.0,20230103,1,13,11
129,34.845017363249084,1.0,20230103,1,15,10
130,40.381817783872,1.0,20230103,1,15,12
131,17.819796464210654,1.0,20230103,1,16,16
132,40.30791579198163,1.0,20230103,1,18,9
133,140.10338970397495,1.0,20230103,1,19,2
134,150.92905497860403,1.0,20230103,2,4,17
135,47.736901550179546,1.0,20230103,2,5,16
136,18.855830262850276,1.0,20230103,2,11,16
137,41.56541817480644,1.0,20230103,2,11,20
138,28.308215818241333,1.0,20230103,2,13,12
139,26.91332134150488,1.0,20230103,2,13,17
140,22.89530131216047,1.0,20230103,2,13,18
141,236.92502594099207,1.0,20230103,2,15,1
142,31.502450607628674,1.0,20230103,2,15,18
143,17.864381909378512,1.0,20230103,2,18,20
144,891.1432446317251,3.0,20230103,3,2,4
145,497.53164027926096,9.0,20230103,3,2,12
146,254.72053391048786,2.0,20230103,3,7,2
147,37.38840142175975,1.0,20230103,3,9,12
148,34.757343753841766,1.0,20230103,3,11,17
149,154.37400661069302,1.0,20230103,3,13,4
150,17.394289913472484,1.0,20230103,3,24,18
151,131.74803522248632,1.0,20230103,4,2,16
152,161.4197010724677,1.0,20230103,4,2,17
153,181.1373119553693,2.0,20230103,4,4,6
154,74.64204772277867,1.0,20230103,4,4,10
155,48.38005342140702,1.0,20230103,4,5,17
156,41.13708632014294,1.0,20230103,4,6,11
157,15.451886962230885,1.0,20230103,4,6,19
158,34.65308013412425,1.0,20230103,4,9,7
159,15.158693300829215,1.0,20230103,4,15,7
160,40.736764905647874,1.0,20230103,4,16,6
161,15.8448201631794,1.0,20230103,4,19,14
162,19.508566892502756,1.0,20230103,4,22,11
163,40.909752853366484,1.0,20230103,4,24,4
164,760.2453738886614,6.0,20230103,5,7,1
165,75.44530912592082,1.0,20230103,5,7,6
166,20.574924525785626,1.0,20230103,5,9,15
167,51.75251889793896,1.0,20230103,5,11,9
168,31.683388370677264,1.0,20230103,5,19,6
169,45.885410550009404,1.0,20230103,5,20,8
170,2016.0659583310803,6.0,20230103,6,1,3
171,333.744855374692,1.0,20230103,6,3,8
172,318.39086766238967,1.0,20230103,6,4,9
173,88.21395606673613,1.0,20230103,6,6,6
174,114.77998664503895,1.0,20230103,6,8,8
175,25.00629774549608,1.0,20230103,6,11,13
176,15.33595108484676,1.0,20230103,6,17,20
177,58.15742248391026,1.0,20230103,6,22,5
178,344.78008842961293,1.0,20230103,7,2,13
179,256.58160226036796,1.0,20230103,7,5,4
180,85.3860960032214,1.0,20230103,7,8,7
181,65.01853592646411,1.0,20230103,7,11,10
182,49.03779178646987,1.0,20230103,7,12,17
183,112.83041128510392,1.0,20230103,7,14,4
184,79.7011195251316,1.0,20230103,7,15,5
185,59.107399965391224,1.0,20230103,7,15,8
186,38.42071954039567,1.0,20230103,7,23,7
187,29.501441475410534,1.0,20230103,7,24,2
188,478.1265261491122,2.0,20230103,8,1,12
189,45.69673064366137,1.0,20230103,8,7,7
190,118.12007035019327,1.0,20230103,8,8,8
191,28.97936335728007,1.0,20230103,8,8,15
192,424.775375164837,2.0,20230103,8,9,1
193,243.47033342441367,1.0,20230103,8,11,3
194,67.821111700003,1.0,20230103,8,11,12
195,40.939247319442096,1.0,20230103,8,15,5
196,14.470433453937114,1.0,20230103,8,15,16
197,24.795657757925095,1.0,20230103,8,16,13
198,22.654104827404677,1.0,20230103,8,18,20
199,89.79905116407714,1.0,20230103,8,19,2
200,34.90173183725848,1.0,20230103,8,21,9
201,235.17560833299953,1.0,20230104,1,3,15
202,173.3797629752549,5.0,20230104,1,4,19
203,88.63881015245788,1.0,20230104,1,12,10
204,38.10388761629333,1.0,20230104,1,16,14
205,368.1987660235378,4.0,20230104,1,19,1
206,97.21472657546914,3.0,20230104,1,21,6
207,536.1773581483986,7.0,20230104,2,1,15
208,2459.9872590588466,7.0,20230104,2,4,1
209,140.88646235851675,1.0,20230104,2,7,12
210,151.4836565443,1.0,20230104,2,9,8
211,50.43192774800128,1.0,20230104,2,9,19
212,87.83670033964354,1.0,20230104,2,11,10
