PatronKey,Patron,PatronType,City
1,The Prancing Griffin,Tavern,Silverhaven
2,The Drunken Basilisk,Tavern,Ravenmoor
3,The Salted Wound,Tavern,Thornkeep
4,The Last Candle Inn,Tavern,Duskhollow
5,The Ember Hearth,Tavern,Emberfall
6,Order of the Silver Dawn,Guild,Silverhaven
7,The Wayfarers Company,Guild,Highmarket
8,Black Banner Mercenaries,Guild,Ravenmoor
9,The Gravewatch,Guild,Duskhollow
10,Academy of High Sorcery,Academy,Dawnmere
11,Thornkeep War College,Academy,Thornkeep
12,The Alchemists Collegium,Academy,Mirage Gate
13,Court of Queen Maravelle,Court,Silverhaven
14,The Sunspire Caliphate,Court,Mirage Gate
15,House Blackfang,Court,Ravenmoor
