OrdersKey,Gold,Units,DateKey,PatronKey,WareKey
1,188.73518900205758,2.0,20240101,1,5
2,56.5456362623466,1.0,20240101,1,17
3,425.26073113849884,1.0,20240101,2,4
4,77.91487206423592,1.0,20240101,2,13
5,33.517159512161165,1.0,20240101,2,18
6,74.27615844096661,1.0,20240101,2,19
7,738.032977906364,1.0,20240101,3,3
8,507.27313972902505,1.0,20240101,4,4
9,80.05633580308168,1.0,20240101,4,15
10,35.49412165514995,1.0,20240101,5,17
11,397.1832364357562,1.0,20240101,6,8
12,50.19787742215925,1.0,20240101,6,18
13,394.2814085026549,1.0,20240101,7,6
14,36.562927442556436,1.0,20240101,7,18
15,281.57114321400644,1.0,20240101,8,5
16,401.52662515960344,1.0,20240101,8,6
17,227.48317982678913,1.0,20240101,8,15
18,113.97301673930471,1.0,20240101,8,19
19,246.29530136470976,1.0,20240101,9,2
20,196.84361035877333,1.0,20240101,9,5
21,67.15085374708681,1.0,20240101,9,15
22,39.033678835205784,1.0,20240101,9,17
23,105.13602411014878,1.0,20240101,10,11
24,94.72388995071206,1.0,20240101,10,14
25,164.70531472832204,1.0,20240101,10,16
26,40.95175503986045,1.0,20240101,10,18
27,624.7836591489491,2.0,20240101,11,2
28,167.50756858512028,1.0,20240101,11,5
29,288.5944401798994,1.0,20240101,11,7
30,62.98036648028221,1.0,20240101,11,20
31,175.04375359127522,1.0,20240101,12,14
32,998.2868643235188,6.0,20240101,13,1
33,364.50450028744655,1.0,20240101,13,2
34,183.18253487494565,1.0,20240101,13,11
35,27.086526954375078,1.0,20240101,13,18
36,64.11368032012898,1.0,20240101,13,19
37,675.8862287640333,1.0,20240101,14,3
38,164.64298143685207,1.0,20240101,14,7
39,118.26517452192509,1.0,20240101,15,10
40,132.29808212170403,2.0,20240101,15,11
41,49.29794728576452,1.0,20240101,15,20
42,479.55542759135494,1.0,20240102,1,2
43,183.68310001070142,1.0,20240102,1,5
44,293.5035347284601,1.0,20240102,1,6
45,377.20512464306626,1.0,20240102,2,1
46,65.70817030814213,1.0,20240102,2,9
47,40.95627715714809,1.0,20240102,2,13
48,48.894797911918566,1.0,20240102,2,16
49,196.05274540504928,1.0,20240102,3,2
50,266.5572755200483,2.0,20240102,4,6
51,67.03097666642213,1.0,20240102,4,11
52,86.88117683501201,1.0,20240102,4,15
53,786.4807573180033,1.0,20240102,5,1
54,238.79071360377424,1.0,20240102,6,2
55,144.44149984411388,1.0,20240102,6,6
56,33.27130210973013,1.0,20240102,6,13
57,66.15739212035432,1.0,20240102,6,15
58,87.14555679983184,1.0,20240102,6,16
59,800.9249763063995,1.0,20240102,7,1
60,483.1263056334618,1.0,20240102,7,2
61,207.39659514591,1.0,20240102,7,12
62,335.9731807382448,1.0,20240102,8,3
63,363.7212069797135,1.0,20240102,8,4
64,434.7056135615863,1.0,20240102,8,6
65,45.32184563166785,1.0,20240102,8,9
66,84.34192859642626,1.0,20240102,8,12
67,46.53130228820288,1.0,20240102,8,20
68,177.33074447152387,1.0,20240102,9,5
69,196.93060864323022,1.0,20240102,9,8
70,511.77013043700714,3.0,20240102,10,1
71,61.7937845117011,1.0,20240102,10,16
72,23.6911014546018,1.0,20240102,10,17
73,195.7628155271337,1.0,20240102,11,2
74,203.12601650326133,2.0,20240102,11,4
75,104.39475913329815,1.0,20240102,11,7
76,92.3514895575071,1.0,20240102,11,16
77,110.82496687267795,1.0,20240102,12,5
78,121.63730698039122,1.0,20240102,12,6
79,77.91123580323818,1.0,20240102,12,11
80,127.2786154747979,1.0,20240102,12,12
81,26.93147422254002,1.0,20240102,12,20
82,30.613109270869206,1.0,20240102,13,9
83,29.418810153727,1.0,20240102,13,15
84,54.80271550327195,1.0,20240102,14,5
85,357.8866759795048,1.0,20240102,15,3
86,228.4712994755696,1.0,20240102,15,4
87,84.31526994417172,1.0,20240102,15,5
88,89.59884905996226,1.0,20240102,15,8
89,152.04628533103943,1.0,20240103,1,9
