AdventurerKey,Adventurer,Rank,Class
1,Kaelen Swiftblade,Gold,Ranger
2,Brynn Emberforge,Gold,Paladin
3,Thessaly Moonwhisper,Gold,Sorcerer
4,Garrick Stonehelm,Silver,Fighter
5,Sylvie Nightbloom,Silver,Rogue
6,Mira of the Dunes,Silver,Monk
7,Ferrin Quickfingers,Silver,Rogue
8,Orla Grimbrand,Silver,Cleric
9,Dorian Vell,Bronze,Bard
10,Hesper Wyldwood,Bronze,Druid
11,Tobin Ashcroft,Bronze,Fighter
12,Nyx Umberhollow,Bronze,Warlock
13,Wren Tallow,Bronze,Ranger
14,Lucan Fairweather,Bronze,Paladin
15,Isolde Marrow,Bronze,Cleric
16,Pip Underbough,Copper,Rogue
17,Edda Stoutflagon,Copper,Fighter
18,Corvin Blackmere,Copper,Warlock
19,Anwen Thistle,Copper,Druid
20,Rook Hallows,Copper,Bard
21,Maelis Dawnstrider,Copper,Monk
22,Osric Pennywhistle,Copper,Bard
23,Vanna Ironquill,Copper,Sorcerer
24,Hob Greenmantle,Copper,Ranger
