QuestsKey,Bounty,DaysOnQuest,DateKey,GuildHallKey,QuestTypeKey,AdventurerKey
1,67.96695030357867,1.0,20240101,1,3,19
2,215.134102769197,2.0,20240101,1,4,12
3,122.02824239852634,1.0,20240101,1,6,6
4,23.50021985182,1.0,20240101,1,6,21
5,162.3065471948961,1.0,20240101,2,5,15
6,83.97927038698425,1.0,20240101,2,5,19
7,33.13018701522624,1.0,20240101,2,6,17
8,540.178758401927,2.0,20240101,3,1,8
9,275.2102920207312,1.0,20240101,3,1,14
10,115.31241820839493,1.0,20240101,3,1,22
11,218.64247341336844,4.0,20240101,3,2,9
12,54.654446173783874,1.0,20240101,3,3,22
13,190.85431229380453,3.0,20240101,3,8,14
14,398.7649606321421,2.0,20240101,4,1,11
15,74.41401360015068,1.0,20240101,4,2,19
16,58.092405366838626,1.0,20240101,4,3,21
17,484.49791512330467,1.0,20240101,5,1,6
18,56.34591087492254,1.0,20240101,5,2,20
19,263.20120913769074,1.0,20240101,5,3,5
20,73.00990446027734,1.0,20240101,5,4,18
21,350.4807745975618,1.0,20240101,5,7,6
22,89.19056146760013,1.0,20240101,5,7,17
23,124.77294872057942,1.0,20240101,6,3,12
24,44.26479550725963,1.0,20240101,6,3,23
25,72.24681419318607,1.0,20240101,6,5,16
26,66.26136597422013,2.0,20240101,6,8,21
27,65.7727065216032,1.0,20240101,6,8,22
28,380.45656248240664,1.0,20240102,1,2,1
29,119.4510385425173,1.0,20240102,1,3,3
30,9.33729483021019,1.0,20240102,1,6,17
31,98.94565540453725,1.0,20240102,2,1,13
32,355.92809811123703,6.0,20240102,2,3,1
33,28.838493327200872,1.0,20240102,2,4,19
34,518.1663035681086,3.0,20240102,2,7,1
35,954.9995845965583,3.0,20240102,2,8,1
36,164.90700554177894,1.0,20240102,2,8,5
37,123.95603782157734,1.0,20240102,3,2,3
38,59.92833456535743,1.0,20240102,3,2,11
39,85.96756351055483,1.0,20240102,3,3,6
40,8.225942612992082,1.0,20240102,3,6,18
41,7.547224323464927,1.0,20240102,3,6,20
42,170.0401904749551,4.0,20240102,3,7,3
43,56.224991206698206,1.0,20240102,3,7,15
44,34.805652587000665,1.0,20240102,3,7,16
45,163.92433324180374,1.0,20240102,4,1,8
46,48.69889286970773,1.0,20240102,4,1,17
47,63.22828448392586,1.0,20240102,4,2,11
48,19.43409627243908,1.0,20240102,4,2,21
49,72.20150456834253,1.0,20240102,4,5,9
50,55.736385290305066,1.0,20240102,4,5,12
51,30.92882230287048,1.0,20240102,4,6,8
52,88.94257660327635,1.0,20240102,4,8,10
53,246.10164919399762,1.0,20240102,5,1,2
54,62.4266225920954,1.0,20240102,5,1,15
55,17.03312321588879,1.0,20240102,5,2,19
56,59.14613694802171,1.0,20240102,5,3,8
57,47.45853283796822,1.0,20240102,5,3,9
58,14.640112684826528,1.0,20240102,5,5,24
59,33.076952868714514,1.0,20240102,6,1,19
60,15.593695396873994,1.0,20240102,6,3,20
61,107.9169878794292,1.0,20240102,6,7,6
62,159.52187628362236,1.0,20240103,1,1,14
63,115.52654052150127,1.0,20240103,1,2,11
64,84.12181601773459,1.0,20240103,1,2,14
65,35.24682873544557,1.0,20240103,1,2,22
66,111.06882778366824,1.0,20240103,1,3,10
67,150.66454660658735,1.0,20240103,1,4,9
68,100.00681564347906,1.0,20240103,1,4,14
69,58.14821708766827,1.0,20240103,1,4,16
70,219.98658995022407,1.0,20240103,1,5,5
71,12.611060678604412,1.0,20240103,1,6,22
72,173.84972444040062,1.0,20240103,1,7,9
73,162.50999475807924,2.0,20240103,1,8,10
74,115.64145446370256,2.0,20240103,1,8,13
75,46.35205186143598,1.0,20240103,1,8,22
76,284.7331227942253,2.0,20240103,2,5,4
77,13.454279602034386,1.0,20240103,2,6,22
78,13.24832842421164,1.0,20240103,2,6,23
79,359.71653296909926,7.0,20240103,2,8,4
80,39.69139915978893,1.0,20240103,3,5,19
81,13.569867333711228,1.0,20240103,3,6,20
82,155.4453763129212,1.0,20240103,3,8,9
83,43.5534355597722,1.0,20240103,3,8,21
84,34.94239694819318,1.0,20240103,4,2,21
85,118.33855166222375,1.0,20240103,4,5,11
86,34.445476914554106,1.0,20240103,4,6,12
87,63.2968842607046,1.0,20240103,4,8,16
88,261.9306218097587,1.0,20240103,5,1,6
89,158.31468965448514,1.0,20240103,5,2,5
90,25.999931225548064,1.0,20240103,5,2,23
91,121.88991199618373,1.0,20240103,5,3,7
92,27.379013311892063,1.0,20240103,5,3,20
93,76.28878241397427,1.0,20240103,5,5,12
94,42.33360636314144,1.0,20240103,5,6,8
95,10.89904215667053,1.0,20240103,5,6,20
96,127.92262133444711,1.0,20240103,6,1,13
97,67.45510150461838,1.0,20240103,6,3,12
98,115.57986420979523,1.0,20240103,6,4,9
99,278.2019241538518,1.0,20240103,6,5,1
100,67.17478085919977,1.0,20240103,6,5,14
101,32.64590676451993,1.0,20240103,6,5,19
102,190.5066893023609,4.0,20240103,6,7,7
103,68.53066475017916,1.0,20240104,1,2,14
104,39.84664390536935,1.0,20240104,1,2,16
105,28.71417567907196,1.0,20240104,1,2,22
106,321.3250522274183,1.0,20240104,1,5,2
107,153.51755132362084,1.0,20240104,1,5,7
108,45.44283873494206,1.0,20240104,1,7,20
109,90.12263061852553,1.0,20240104,1,8,14
110,110.1476530748441,1.0,20240104,2,2,9
111,163.19553930607591,1.0,20240104,2,4,8
112,90.85958052832568,1.0,20240104,2,4,13
113,32.125238881651164,1.0,20240104,2,5,21
114,108.3376014120358,1.0,20240104,2,6,1
115,404.36632671918244,1.0,20240104,2,7,4
116,241.5481712015803,1.0,20240104,2,8,5
117,38.58236051081467,1.0,20240104,2,8,24
118,31.06320090532331,1.0,20240104,3,2,19
119,231.6000759884498,1.0,20240104,3,4,4
120,190.8999204743311,1.0,20240104,3,4,5
121,143.1847672793155,1.0,20240104,3,5,7
122,32.33498868725791,1.0,20240104,3,5,19
123,27.87800196414693,1.0,20240104,3,5,22
124,26.699082478375015,1.0,20240104,3,5,24
125,57.45348209474521,1.0,20240104,3,6,5
126,91.6565729809522,1.0,20240104,3,7,13
127,117.77317912942185,1.0,20240104,4,4,10
128,202.7688908927601,2.0,20240104,4,7,6
129,251.4507372640937,1.0,20240104,4,7,7
130,49.46762297357319,1.0,20240104,4,8,17
131,22.304582464938786,1.0,20240104,5,3,20
132,63.79893190693209,1.0,20240104,5,4,13
133,221.31805120200616,2.0,20240104,5,5,1
134,22.048295043011148,1.0,20240104,5,5,23
135,63.41205000617611,1.0,20240104,5,8,15
136,115.94224007340064,1.0,20240104,6,1,12
137,61.14065365428483,1.0,20240104,6,2,12
138,25.549272185650196,1.0,20240104,6,2,19
139,18.961084960578404,1.0,20240104,6,3,24
140,22.92946764710331,1.0,20240104,6,5,22
141,9.09251935382355,1.0,20240104,6,6,20
142,7.548031843492099,1.0,20240104,6,6,24
143,204.85593862825093,1.0,20240104,6,7,3
144,37.99574644794794,1.0,20240104,6,7,18
145,36.425036818637174,1.0,20240104,6,8,18
146,131.0496056716818,1.0,20240105,1,2,2
147,46.991036127571554,1.0,20240105,1,2,12
148,37.962780754361034,1.0,20240105,1,3,13
149,17.55491125399863,1.0,20240105,1,3,20
150,30.895606045312952,1.0,20240105,1,8,16
151,1849.018209342859,21.0,20240105,2,1,1
152,112.26246417676171,2.0,20240105,2,1,11
153,58.37035439291564,1.0,20240105,2,3,9
154,40.501102941043484,1.0,20240105,2,3,13
155,21.632009838484297,1.0,20240105,2,4,21
156,67.6017300346365,1.0,20240105,2,5,9
157,17.937231845594432,1.0,20240105,2,6,12
158,14.486645041365056,1.0,20240105,2,6,15
159,68.77138195105269,1.0,20240105,2,7,12
160,392.6160290575115,3.0,20240105,2,8,1
161,121.99592668237848,1.0,20240105,2,8,7
162,29.867149549795272,1.0,20240105,2,8,18
163,98.14417320307844,1.0,20240105,3,1,11
164,15.548619219514455,1.0,20240105,3,2,23
165,15.122579757937096,1.0,20240105,3,2,24
166,67.49664897101432,1.0,20240105,3,4,9
167,42.08110750100512,1.0,20240105,3,4,15
168,18.91153678023729,1.0,20240105,3,4,21
169,29.55465269856989,1.0,20240105,3,6,6
170,20.744825243718036,1.0,20240105,3,7,24
171,49.55970332426748,1.0,20240105,3,8,14
172,22.178296290018803,1.0,20240105,4,2,17
173,64.9161956623101,1.0,20240105,4,4,11
174,22.97219051761126,1.0,20240105,4,4,19
175,103.9792164710818,1.0,20240105,4,5,5
176,23.08631881904727,1.0,20240105,4,5,17
177,148.53079102340257,1.0,20240105,4,8,3
178,98.1751185734891,1.0,20240105,4,8,8
179,98.1719081791001,1.0,20240105,5,2,2
180,77.27911619638552,1.0,20240105,5,3,3
181,35.984334266486385,1.0,20240105,5,4,14
182,6.296959271015418,1.0,20240105,5,6,16
183,19.241460796806837,1.0,20240105,5,8,20
184,150.67123424260882,1.0,20240105,6,2,1
185,14.983343003411749,1.0,20240105,6,2,20
186,15.680542913630449,1.0,20240105,6,5,19
187,5.389719388711056,1.0,20240105,6,6,19
188,179.83535221182294,1.0,20240106,1,3,3
189,44.118569670833274,1.0,20240106,1,4,18
190,181.41904636869828,3.0,20240106,1,7,8
191,44.7765845389622,1.0,20240106,1,8,20
192,79.48681363336483,1.0,20240106,2,1,17
193,169.68222781496416,1.0,20240106,2,3,5
194,92.7573699459455,1.0,20240106,2,3,11
195,37.43231076151198,1.0,20240106,2,4,22
196,196.51777474585828,1.0,20240106,2,5,5
197,57.861863848230854,1.0,20240106,2,6,7
198,216.6095978231097,1.0,20240106,2,8,6
199,451.2513769977136,2.0,20240106,3,1,5
200,52.58742542125587,1.0,20240106,3,1,21
201,165.04610509419498,2.0,20240106,3,2,5
202,38.145203497644175,1.0,20240106,3,5,17
203,34.53013751099386,1.0,20240106,3,6,10
204,11.362460812334009,1.0,20240106,3,6,20
205,43.797628373554915,1.0,20240106,3,7,19
206,130.15912045258224,1.0,20240106,3,8,9
207,137.40135302700565,1.0,20240106,4,1,13
208,123.45862580122528,2.0,20240106,4,1,15
209,174.13435833893743,1.0,20240106,4,2,5
210,130.14184405540524,1.0,20240106,4,2,8
211,26.103325918453944,1.0,20240106,4,3,22
212,10.468418027679617,1.0,20240106,4,6,21
213,42.23715328101763,1.0,20240106,5,1,21
214,355.9646593584847,2.0,20240106,5,2,1
215,153.81996113541,1.0,20240106,5,3,2
216,27.57558801658255,1.0,20240106,5,3,16
217,25.881530525665074,1.0,20240106,5,4,23
218,41.38119500894728,1.0,20240106,5,6,6
219,155.77129467496636,1.0,20240106,5,7,7
220,220.51327479788264,1.0,20240106,6,1,7
221,122.01090120736137,1.0,20240106,6,3,5
222,64.2388128494015,1.0,20240106,6,4,14
223,159.77604289300186,1.0,20240106,6,5,3
224,65.41495952401691,1.0,20240106,6,5,12
225,27.189402675135472,1.0,20240106,6,5,20
226,22.570914529992272,1.0,20240106,6,5,24
227,10.78393652328341,1.0,20240106,6,6,17
228,82.61491434761736,1.0,20240107,1,1,16
229,39.4761755674337,1.0,20240107,1,2,18
230,30.066726322559262,1.0,20240107,1,2,24
231,83.66569479779767,1.0,20240107,1,4,15
232,49.68445747186351,1.0,20240107,1,7,20
233,655.9247992229667,3.0,20240107,2,1,4
234,120.42879664149669,2.0,20240107,2,2,9
235,83.55720923181654,1.0,20240107,2,3,12
236,998.7188583805291,8.0,20240107,2,8,1
237,537.3804647843546,9.0,20240107,3,2,1
238,48.306613221873576,1.0,20240107,3,4,16
239,58.584271635715666,1.0,20240107,4,1,22
240,284.2979286111623,1.0,20240107,4,4,2
241,132.05670172336175,1.0,20240107,4,4,9
242,349.2892382338504,2.0,20240107,5,1,2
243,31.308392224830374,1.0,20240107,5,2,17
244,66.7286773402064,1.0,20240107,5,4,14
245,27.959147499350436,1.0,20240107,5,4,22
246,28.39491302159185,1.0,20240107,5,5,19
247,8.058778619735694,1.0,20240107,5,6,24
248,115.9997155516241,1.0,20240107,5,7,9
249,31.767826323281337,1.0,20240107,5,7,23
250,30.897372977477648,1.0,20240107,5,7,24
251,60.08514925519672,1.0,20240107,6,2,13
252,60.08225217235686,1.0,20240107,6,3,12
253,27.420679630278347,1.0,20240107,6,4,24
254,150.31375434732738,1.0,20240107,6,5,5
255,131.14513144277328,1.0,20240107,6,5,6
256,760.6192258855965,2.0,20240108,1,2,1
257,25.796695144174684,1.0,20240108,1,2,22
258,75.99531492962312,1.0,20240108,1,3,11
259,64.355802813036,1.0,20240108,1,3,12
260,23.358221382268987,1.0,20240108,1,3,21
261,64.08836180741017,1.0,20240108,1,5,14
262,8.839553547938825,1.0,20240108,1,6,24
263,33.92446339360927,1.0,20240108,1,8,22
264,49.98264182259291,1.0,20240108,2,1,24
265,24.357604209459947,1.0,20240108,2,3,23
266,428.3067889298135,4.0,20240108,3,1,4
267,163.11731050394715,1.0,20240108,3,2,3
268,111.07058415101194,1.0,20240108,3,3,7
269,66.63735225029046,1.0,20240108,3,6,2
270,45.033688963935646,1.0,20240108,3,6,6
271,43.93843171954666,1.0,20240108,3,7,17
272,214.51070372108302,2.0,20240108,3,8,3
273,251.82379031887675,1.0,20240108,4,1,6
274,107.91173248789647,1.0,20240108,4,1,15
275,46.102910861756264,1.0,20240108,4,1,24
276,184.6565199134468,3.0,20240108,4,2,4
277,136.80208734168917,3.0,20240108,4,3,5
278,22.659910664856785,1.0,20240108,4,6,13
279,9.082671600629395,1.0,20240108,4,6,22
280,253.30778855420246,1.0,20240108,4,7,4
281,96.65594141381735,1.0,20240108,4,7,12
282,200.16152993073368,3.0,20240108,4,8,5
283,46.326165656073556,1.0,20240108,4,8,16
284,31.971694381982797,1.0,20240108,4,8,24
285,63.33989010738883,1.0,20240108,5,2,11
286,117.75349613105982,1.0,20240108,5,3,3
287,126.34533597623025,1.0,20240108,5,3,4
288,104.14208409572306,1.0,20240108,5,3,5
289,28.888178876660383,1.0,20240108,5,4,18
290,6.914283020287891,1.0,20240108,5,6,22
291,113.87978505427235,1.0,20240108,5,8,8
292,56.969120087564825,1.0,20240108,5,8,15
293,44.36190556884296,1.0,20240108,6,2,15
294,17.03455929913169,1.0,20240108,6,3,24
295,27.287717514317308,1.0,20240108,6,4,19
296,25.902716359471164,1.0,20240108,6,5,18
297,518.1905824779955,2.0,20240109,1,1,5
298,92.33313381474757,1.0,20240109,1,2,9
299,32.29022969705718,1.0,20240109,1,2,18
300,57.58284570069044,1.0,20240109,1,3,13
301,35.40947948985369,1.0,20240109,1,4,19
302,160.27422070094704,1.0,20240109,1,5,5
303,139.83539851013973,1.0,20240109,1,5,6
304,40.858505803381476,1.0,20240109,1,7,19
305,49.7556781721328,1.0,20240109,2,1,24
306,122.76610744380626,1.0,20240109,2,2,8
307,37.57530464400233,1.0,20240109,2,4,20
308,39.57475649449985,1.0,20240109,2,5,16
309,233.2776227994166,1.0,20240109,3,1,7
310,23.95114598793362,1.0,20240109,3,2,22
311,751.8275758963957,13.0,20240109,3,4,1
312,220.40963126470294,3.0,20240109,3,4,2
313,169.02463355342175,1.0,20240109,3,5,3
314,81.96997004383685,1.0,20240109,3,7,13
315,60.310659741550474,1.0,20240109,4,2,14
316,25.457758318641137,1.0,20240109,4,2,21
317,136.18088966182586,1.0,20240109,4,3,5
318,203.66839669835446,1.0,20240109,4,4,3
319,218.5289851602653,4.0,20240109,4,4,4
320,35.01787561232405,1.0,20240109,4,5,17
321,101.25424772912525,1.0,20240109,5,1,12
322,22.51959753815001,1.0,20240109,5,4,23
323,104.7535231591448,1.0,20240109,5,5,6
324,15.429278078751588,1.0,20240109,5,6,15
325,94.88400044114859,2.0,20240109,5,7,9
326,24.228282932151856,1.0,20240109,5,8,24
327,223.98549064790976,1.0,20240109,6,1,5
328,49.73109649635136,1.0,20240109,6,1,17
329,37.35684882134175,1.0,20240109,6,1,22
330,36.87171128976355,1.0,20240109,6,6,6
331,33.98021655008598,1.0,20240109,6,7,18
332,93.14887246390182,1.0,20240109,6,8,9
333,51.18299358565648,1.0,20240110,1,3,11
334,19.63575402035504,1.0,20240110,1,3,18
335,28.662844686680323,1.0,20240110,1,4,16
336,48.1191351797689,1.0,20240110,1,6,2
337,21.794435013803724,1.0,20240110,1,6,10
338,13.935081509719515,1.0,20240110,1,6,15
339,63.418280776700996,1.0,20240110,1,8,12
340,21.88197631650954,1.0,20240110,1,8,24
341,2581.863550144851,7.0,20240110,2,1,1
342,132.1242028083283,1.0,20240110,2,4,5
343,98.7449436277121,1.0,20240110,2,4,8
344,89.14700938830352,1.0,20240110,2,7,10
345,67.65864531106837,1.0,20240110,2,8,12
346,177.51679596603648,2.0,20240110,3,4,2
347,6.688958308362446,1.0,20240110,3,6,20
348,99.61110407384999,1.0,20240110,3,7,8
349,38.32621395803814,1.0,20240110,4,2,15
350,20.476538373693977,1.0,20240110,4,4,21
351,195.06450121683955,1.0,20240110,4,7,4
352,28.271798988424074,1.0,20240110,4,8,18
353,80.8961362176653,1.0,20240110,5,1,11
354,92.77373909511215,1.0,20240110,5,4,5
355,19.45624510556572,1.0,20240110,5,4,18
356,22.78563651466448,1.0,20240110,5,8,17
357,15.947509664037828,1.0,20240110,6,3,17
358,13.894603014537541,1.0,20240110,6,3,19
359,122.65303992514723,1.0,20240110,6,4,2
360,16.00610852939884,1.0,20240110,6,5,20
361,135.6770126668709,2.0,20240110,6,8,2
362,87.53653373051804,1.0,20240111,1,1,15
363,30.78274214158525,1.0,20240111,1,4,18
364,28.247929594834144,1.0,20240111,1,7,22
365,141.66244814244703,3.0,20240111,1,8,6
366,34.05142259836141,1.0,20240111,1,8,18
367,25.48136141026274,1.0,20240111,2,2,19
368,143.6333163049974,1.0,20240111,2,3,4
369,54.57913617489706,1.0,20240111,2,5,14
370,7.740049935210137,1.0,20240111,2,6,23
371,318.9118513235018,3.0,20240111,2,7,2
372,37.894752549415074,1.0,20240111,2,7,18
373,80.1905306817544,2.0,20240111,2,8,12
374,88.66203798211352,1.0,20240111,3,3,7
375,17.144217081367618,1.0,20240111,3,6,13
376,129.72557300935648,1.0,20240111,3,8,7
377,38.712122145476194,1.0,20240111,4,1,21
378,132.48427327813891,3.0,20240111,4,3,4
379,63.85469556251884,1.0,20240111,4,3,10
380,589.938205471815,2.0,20240111,4,4,1
381,78.95931609985733,1.0,20240111,4,4,11
382,110.34440279531442,1.0,20240111,4,5,6
383,764.3689267907753,7.0,20240111,4,7,1
384,180.66199904853377,1.0,20240111,4,8,3
385,73.96601606413581,1.0,20240111,4,8,12
386,25.521388973644445,1.0,20240111,4,8,24
387,69.12519621390504,1.0,20240111,5,2,8
388,15.189898646383108,1.0,20240111,5,2,23
389,25.448992518370254,1.0,20240111,5,4,16
390,22.283127361124382,1.0,20240111,5,5,16
391,15.811802601682968,1.0,20240111,5,5,23
392,28.170589564123627,1.0,20240111,5,7,17
393,24.413122998852213,1.0,20240111,5,7,20
394,503.68572971900966,2.0,20240111,6,1,2
395,121.8935373061293,1.0,20240111,6,2,4
396,6.5556607647889065,1.0,20240111,6,6,19
397,25.000168515469063,1.0,20240111,6,7,20
398,160.80741192865136,1.0,20240111,6,8,2
399,20.774125529131474,1.0,20240111,6,8,22
400,27.659500877913278,1.0,20240112,1,5,20
401,67.8979331457743,1.0,20240112,1,8,15
402,30.513794342454837,1.0,20240112,1,8,21
403,46.942665092410586,1.0,20240112,2,1,21
404,28.500503370080757,1.0,20240112,2,2,19
405,98.9656831603206,2.0,20240112,2,3,8
406,22.249341418809443,1.0,20240112,2,3,21
407,86.89914250567624,1.0,20240112,2,6,1
408,80.4477588466453,1.0,20240112,2,7,14
409,1022.9097274432493,4.0,20240112,2,8,1
410,39.0137515140117,1.0,20240112,3,1,24
411,128.80154219431404,2.0,20240112,3,2,5
412,110.33329421150559,1.0,20240112,3,2,7
413,75.31518096803988,1.0,20240112,3,2,10
414,7.7431495952995695,1.0,20240112,3,6,21
415,29.68725068095026,1.0,20240112,3,7,21
416,191.5214955067117,2.0,20240112,3,8,3
417,145.09602023264506,1.0,20240112,3,8,7
418,32.59158862610819,1.0,20240112,3,8,20
419,714.0830768863461,2.0,20240112,4,1,2
420,42.9795843279309,1.0,20240112,4,1,22
421,22.664732697380582,1.0,20240112,4,2,22
422,25.61505241590056,1.0,20240112,4,3,18
423,20.522312682169872,1.0,20240112,4,3,21
424,7.766348255406558,1.0,20240112,4,6,24
425,39.67868922857691,1.0,20240112,4,8,17
426,466.4047464820669,2.0,20240112,5,1,4
427,32.96176227477691,1.0,20240112,5,1,21
428,19.49973859792227,1.0,20240112,5,3,18
429,223.2295514557906,1.0,20240112,5,4,1
430,28.464299271814028,1.0,20240112,5,4,16
431,44.080683554929934,1.0,20240112,6,2,13
432,71.16179665062143,1.0,20240112,6,3,8
433,47.08685768458138,1.0,20240112,6,4,15
434,24.417562452852223,1.0,20240112,6,7,21
435,197.1003590382828,1.0,20240112,6,8,2
436,23.408162610647963,1.0,20240112,6,8,21
437,51.33516115130815,1.0,20240113,1,3,10
438,86.7852435954813,1.0,20240113,1,4,8
439,22.463365209027444,1.0,20240113,1,4,19
440,23.53231715705565,1.0,20240113,1,5,16
441,20.517592390437756,1.0,20240113,1,8,24
442,2468.7193398654113,13.0,20240113,2,1,1
443,108.02516858582507,1.0,20240113,2,1,11
444,73.88193195143175,1.0,20240113,2,1,15
445,60.934427567163766,1.0,20240113,2,2,10
446,48.24077058665149,1.0,20240113,2,2,12
447,17.380074074488107,1.0,20240113,2,2,22
448,16.645096438109263,1.0,20240113,2,2,24
449,69.99947592450921,1.0,20240113,2,3,8
450,67.72270594667958,1.0,20240113,2,4,11
451,74.91387443939365,1.0,20240113,2,8,11
452,47.87995274365256,1.0,20240113,3,3,10
453,15.755340869202856,1.0,20240113,3,3,20
454,94.49430484972206,1.0,20240113,3,4,6
455,43.111300466583614,1.0,20240113,3,4,14
