QuestKey,Quest,QuestType,Danger,RankRequired
1,Cull the Gnoll Warren,Hunt,Low,Copper
2,Escort the Salt Caravan,Escort,Low,Copper
3,Gather Emberbloom,Gather,Low,Copper
4,Clear the Old Mill,Hunt,Low,Bronze
5,Map the Gloamspire Tunnels,Delve,Medium,Bronze
6,Ward the Thornveil Road,Escort,Medium,Bronze
7,Harvest Rimefrost Sap,Gather,Medium,Bronze
8,Break the Bog Siege,Hunt,Medium,Silver
9,Recover the Sunken Ledger,Delve,Medium,Silver
10,Hunt the Ironjaw,Hunt,High,Silver
11,Escort the Ambassador,Escort,High,Silver
12,Delve the Obsidian Vault,Delve,High,Silver
13,Purge the Ashfall Crypts,Hunt,High,Gold
14,Silence the Widow,Hunt,High,Gold
15,Chart the Verdant Deep,Delve,High,Gold
16,Siege of Ashfall Reach,Raid,Extreme,Gold
17,The Wyrm of Emberwaste,Raid,Extreme,Gold
18,Vorrak's Descent,Raid,Extreme,Gold
19,Rimeheart's Lair,Raid,Extreme,Gold
20,The Maw Awakens,Raid,Extreme,Gold
