ProductKey,Product,Category
1,Product-0001,Home
2,Product-0002,Electronics
3,Product-0003,Apparel
4,Product-0004,Home
5,Product-0005,Electronics
6,Product-0006,Apparel
7,Product-0007,Home
8,Product-0008,Home
9,Product-0009,Electronics
10,Product-0010,Electronics
11,Product-0011,Electronics
12,Product-0012,Apparel
13,Product-0013,Home
14,Product-0014,Apparel
15,Product-0015,Electronics
16,Product-0016,Electronics
17,Product-0017,Home
18,Product-0018,Electronics
19,Product-0019,Apparel
20,Product-0020,Home
21,Product-0021,Home
22,Product-0022,Electronics
23,Product-0023,Apparel
24,Product-0024,Apparel
25,Product-0025,Home
26,Product-0026,Electronics
27,Product-0027,Electronics
28,Product-0028,Electronics
29,Product-0029,Electronics
30,Product-0030,Home
